type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	37.512684842	-78.328165869	76.1			
T	37.544705782	-78.314725806	114.5			
T	37.577430238	-78.300968628	115.9			
T	37.601831362	-78.293214444	101.3			
T	37.615293565	-78.290079662	116.1			
T	37.628860188	-78.289030108	87.6			
T	37.644833585	-78.291676568	123.3			
T	37.651746718	-78.300697280	114.3			
T	37.656366645	-78.316657357	94.8			
T	37.660942330	-78.334813340	130.3			
T	37.663235865	-78.342842054	139.4			
T	37.672650104	-78.368555570	114.9			
T	37.684600582	-78.404589900	120.0			
T	37.696419372	-78.434510736	97.7			
T	37.710547401	-78.481517269	146.2			
T	37.727535531	-78.528395812	133.3			
T	37.742066833	-78.565261426	142.1			
T	37.761792870	-78.619210612	103.4			
T	37.766718996	-78.631708471	141.6			
T	37.784023592	-78.671338551	130.3			
T	37.811075424	-78.734807400	219.7			
T	37.826629476	-78.775581652	191.1			
T	37.844492936	-78.827768325	211.6			
T	37.859315544	-78.873937315	263.1			
T	37.872348109	-78.922765042	263.2			
T	37.881359740	-78.965357476	365.2			
T	37.891305631	-79.005759187	736.1			
T	37.904609248	-79.039579836	804.0			
T	37.917275750	-79.080442644	923.0			
T	37.926392967	-79.107888272	675.3			
T	37.941254781	-79.140213453	612.9			
T	37.950260704	-79.168018201	539.0			
T	37.959402305	-79.195984673	553.7			
T	37.967849282	-79.224032045	620.5			
T	37.976232369	-79.252201782	627.0			
T	37.981827945	-79.273371214	508.2			
T	37.990160891	-79.297109499	539.1			
T	37.995753745	-79.320751333	559.0			
T	37.998199429	-79.341850864	462.4			
T	38.003858367	-79.363289649	565.8			
T	38.005524312	-79.381974467	904.2			
T	38.010542034	-79.401341039	562.9			
T	38.014478993	-79.415873609	458.0			
T	38.020126376	-79.446901471	489.7			
T	38.022938203	-79.451896520	501.2			
T	38.027391033	-79.478060897	567.3			
T	38.033217720	-79.506974948	610.2			
T	38.036337000	-79.528583766	848.8			
T	38.042700206	-79.553087649	516.6			
T	38.046036284	-79.574858585	604.6			
T	38.049358813	-79.599034932	430.4			
T	38.052593977	-79.618502382	513.9			
T	38.055644374	-79.637947395	500.3			
T	38.055620027	-79.649778972	497.2			
T	38.055583987	-79.666343220	429.6			
T	38.055534314	-79.687639537	476.1			
T	38.052625952	-79.701325383	531.0			
T	38.049751592	-79.712636089	571.0			
T	38.046380441	-79.723742451	527.0			
T	38.042849263	-79.732402996	549.1			
T	38.036794343	-79.747695883	592.8			
T	38.037132244	-79.761964356	867.6			
T	38.034148966	-79.770770870	830.7			
T	38.031280798	-79.784313064	961.1			
T	38.028198400	-79.795394343	794.2			
T	38.019660556	-79.810048165	714.3			
T	37.996547907	-79.823694527	763.1			
T	37.951263230	-79.833763858	1148.8			
T	37.916949935	-79.844601196	991.7			
T	37.876109861	-79.854453764	765.7			
T	37.841663037	-79.859707965	548.9			
T	37.805052227	-79.864800318	326.5			
T	37.766235733	-79.868963640	547.1			
T	37.734928577	-79.874519793	571.9			
T	37.716776670	-79.876866639	425.6			
T	37.686141289	-79.880045719	374.0			
T	37.658145325	-79.883637337	321.0			
T	37.630596167	-79.887169216	350.9			
T	37.601387144	-79.890149022	392.8			
T	37.575014880	-79.895807745	537.0			
T	37.559824857	-79.900099891	497.3			
T	37.531713715	-79.904890602	357.4			
T	37.504261848	-79.911746446	335.8			
T	37.474901446	-79.915721214	420.1			
T	37.448106046	-79.920198926	437.1			
T	37.417983564	-79.921674147	421.8			
T	37.392382596	-79.922324708	393.2			
T	37.369090765	-79.921565145	403.6			
T	37.348134256	-79.917592218	371.2			
T	37.334917981	-79.915771355	388.6			
T	37.323666449	-79.912581094	449.2			
T	37.312461691	-79.903690464	334.2			
T	37.308722732	-79.896931375	323.6			
T	37.306840606	-79.885015739	332.2			
T	37.304978467	-79.873130505	295.8			
T	37.303123609	-79.865050343	445.5			
T	37.292117970	-79.867752645	363.0			
T	37.282756946	-79.870742331	346.0			
T	37.268508723	-79.874458434	340.1			
T	37.255813397	-79.878355750	302.1			
T	37.241342885	-79.879783619	347.7			
T	37.223447109	-79.880165121	294.2			
T	37.200499241	-79.880837216	407.2			
T	37.184881654	-79.879950320	436.1			
T	37.174660529	-79.878845919	448.8			
T	37.164589087	-79.872400612	354.6			
T	37.159633897	-79.863834014	344.8			
T	37.156381778	-79.853973907	306.7			
T	37.153189839	-79.838785067	309.6			
T	37.150073171	-79.816500419	353.5			
T	37.143595149	-79.784413366	345.0			
T	37.133728599	-79.751583346	316.4			
T	37.120525772	-79.718129020	304.8			
T	37.117212639	-79.710236824	296.6			
T	37.102511499	-79.683859549	257.8			
T	37.092853142	-79.664127766	285.6			
T	37.083236590	-79.644518371	278.9			
T	37.084826898	-79.637839602	263.6			
T	37.092830719	-79.639503531	240.8			
T	37.105704995	-79.642169881	241.9			
T	37.126867132	-79.646554635	269.4			
T	37.163410372	-79.650543470	281.9			
T	37.211356349	-79.644020316	261.6			
T	37.276818009	-79.625341617	256.1			
T	37.342852230	-79.609112443	286.8			
T	37.359999873	-79.604564056	316.3			
T	37.424503284	-79.590715814	540.9			
T	37.485263204	-79.579170723	832.0			
T	37.555650873	-79.566490041	565.3			
T	37.633602790	-79.555991493	381.6			
T	37.693507409	-79.545951283	378.1			
T	37.738517429	-79.537435436	395.7			
T	37.748125317	-79.538804102	389.8			
T	37.726577508	-79.550818126	591.9			
T	37.665159838	-79.577651561	444.0			
T	37.641961911	-79.586528132	431.9			
T	37.541431144	-79.627596426	242.0			
T	37.441533939	-79.665036892	328.6			
T	37.363084510	-79.697268070	298.3			
T	37.312753270	-79.722881767	282.6			
T	37.285891686	-79.741630479	304.6			
T	37.271729630	-79.747877653	288.1			
T	37.291208236	-79.731494511	369.7			
T	37.359370852	-79.692680706	288.4			
T	37.446149172	-79.659572983	338.2			
T	37.546057588	-79.638717594	280.6			
T	37.635869165	-79.627122635	705.4			
T	37.705157181	-79.626881234	475.9			
T	37.735629668	-79.629833530	505.2			
T	37.730332604	-79.641765192	576.2			
T	37.676684990	-79.670210495	917.8			
T	37.586023703	-79.703504008	518.5			
T	37.445631540	-79.742343154	692.0			
T	37.350558852	-79.771666645	476.3			
T	37.284372381	-79.794008248	324.0			
T	37.271876603	-79.798496284	309.3			
T	37.245072254	-79.806679091	264.9			
T	37.230840685	-79.810402126	321.7			
T	37.248695368	-79.794630139	299.2			
T	37.309255722	-79.758149793	322.5			
T	37.428674811	-79.717348870	353.3			
T	37.552466438	-79.695112288	650.5			
T	37.578019966	-79.689746741	512.5			
T	37.671356250	-79.681762959	782.2			
T	37.725526737	-79.683445817	697.9			
T	37.734878602	-79.693778618	871.6			
T	37.683490598	-79.720340952	657.1			
T	37.579232630	-79.750176824	259.6			
T	37.449965332	-79.779768431	372.0			
T	37.349484102	-79.804372645	393.1			
T	37.257560892	-79.828492413	281.5			
T	37.218236816	-79.838255971	283.6			
T	37.209510871	-79.837743410	291.3			
T	37.248611810	-79.809429578	296.0			
T	37.264818289	-79.800537974	302.0			
T	37.282504142	-79.789769683	299.6			
T	37.307725634	-79.778741632	401.1			
T	37.518657367	-79.716838703	275.5			
T	37.544021120	-79.711846433	324.9			
T	37.567046535	-79.706073331	430.8			
T	37.590294505	-79.702252225	554.4			
T	37.609600208	-79.697601004	572.3			
T	37.628921008	-79.694901121	793.3			
T	37.641949408	-79.690999644	802.7			
T	37.653016126	-79.688842355	898.9			
T	37.664060859	-79.686630376	771.9			
T	37.680809968	-79.683595816	652.1			
T	37.697687901	-79.682647406	666.8			
T	37.677932863	-79.693525877	644.7			
T	37.664738356	-79.699615397	761.8			
T	37.583152594	-79.724014131	348.5			
T	37.436072320	-79.754213900	580.1			
T	37.336793422	-79.779681228	364.3			
T	37.263023703	-79.800089492	287.7			
T	37.202788945	-79.815926630	313.9			
T	37.197611050	-79.814573276	304.0			
T	37.252263965	-79.784367358	291.0			
T	37.345957853	-79.751112892	548.8			
T	37.377253974	-79.744996485	323.1			
T	37.408998206	-79.738637333	348.4			
T	37.433940288	-79.735957422	581.1			
T	37.462274106	-79.734218209	385.2			
T	37.568323637	-79.729322533	282.3			
T	37.592133418	-79.727988850	261.9			
T	37.654683268	-79.729662949	533.4			
T	37.691265759	-79.741288457	501.6			
T	37.687339011	-79.751331503	393.6			
T	37.612356030	-79.788554875	279.4			
T	37.587642398	-79.797407720	351.4			
T	37.561101756	-79.803559991	420.9			
T	37.454056316	-79.832362602	372.0			
T	37.351728320	-79.860810459	347.5			
T	37.306823879	-79.873631465	289.7			
T	37.301302582	-79.877811952	288.5			
T	37.293962276	-79.877694577	333.0			
T	37.325372969	-79.863403948	312.6			
T	37.454021636	-79.816451276	375.9			
T	37.491190625	-79.807482600	349.0			
T	37.650462604	-79.786467766	428.4			
T	37.759474007	-79.786842404	360.7			
T	37.811843213	-79.791625451	546.9			
T	37.782142372	-79.811644541	387.9			
T	37.716375018	-79.835730159	292.3			
T	37.544624528	-79.871537490	352.7			
T	37.404071778	-79.898189556	405.0			
T	37.331169679	-79.916625276	392.8			
T	37.319976460	-79.919173609	324.6			
T	37.312557402	-79.920862285	307.3			
T	37.299651785	-79.922847819	298.2			
T	37.332971255	-79.903713698	632.7			
T	37.348010865	-79.896361850	463.8			
T	37.458228688	-79.867259238	414.1			
T	37.594703749	-79.855202280	394.3			
T	37.614685596	-79.855925697	345.1			
T	37.630642448	-79.857806675	324.5			
T	37.644424380	-79.859122284	297.0			
T	37.630648922	-79.874603599	306.4			
T	37.592535183	-79.881658528	445.3			
T	37.464454506	-79.892842909	438.1			
T	37.361339939	-79.896179952	368.5			
T	37.283071629	-79.899192087	278.4			
T	37.266720777	-79.890807517	334.7			
T	37.272084884	-79.884794192	342.4			
T	37.329094032	-79.852935037	365.3			
T	37.357362000	-79.841076895	355.6			
T	37.389383843	-79.827611676	424.8			
T	37.424712029	-79.818731959	515.2			
T	37.585433635	-79.792762843	432.1			
T	37.707131548	-79.790711858	318.2			
T	37.711801636	-79.789570432	360.2			
T	37.610083846	-79.792202395	300.6			
T	37.578771661	-79.793288862	441.3			
T	37.385846377	-79.801612825	409.1			
T	37.254024796	-79.805257207	281.2			
T	37.161907401	-79.805274830	340.5			
T	37.143532950	-79.804074966	325.5			
T	37.165349271	-79.782741349	322.5			
T	37.257495169	-79.744630877	300.4			
T	37.291214571	-79.733380189	450.2			
T	37.492940615	-79.713337298	310.3			
T	37.525115832	-79.714153554	282.6			
T	37.552440821	-79.715565686	359.6			
T	37.635176040	-79.728044710	398.4			
T	37.614810229	-79.739073652	289.3			
T	37.472313991	-79.754969367	323.4			
T	37.434413571	-79.759876607	541.8			
T	37.397256167	-79.763339417	374.4			
T	37.362154349	-79.766749643	519.0			
T	37.325669332	-79.769465925	385.1			
T	37.291333709	-79.771102306	329.8			
T	37.197802428	-79.776381468	266.7			
T	37.148615083	-79.774939303	337.3			
T	37.168816740	-79.751135811	306.3			
T	37.206508505	-79.729154319	271.2			
T	37.386881372	-79.667570788	702.3			
T	37.625272788	-79.648427719	764.2			
T	37.661817295	-79.650862911	553.3			
T	37.694347920	-79.652466268	671.0			
T	37.779711764	-79.665352497	933.6			
T	37.707499319	-79.678162446	639.0			
T	37.678441633	-79.683136525	692.8			
T	37.507704554	-79.698290514	304.0			
T	37.331103953	-79.709686694	319.3			
T	37.293079471	-79.711221949	399.8			
T	37.167187509	-79.720076107	265.7			
T	37.138682656	-79.718822469	268.3			
T	37.180619712	-79.688665154	275.4			
T	37.201179871	-79.680384104	302.9			
T	37.370587404	-79.629936386	326.8			
T	37.517287893	-79.619043027	349.5			
T	37.610403446	-79.620962388	444.2			
T	37.603840687	-79.628160201	433.3			
T	37.591018516	-79.632225234	389.1			
T	37.442803843	-79.651230828	420.8			
T	37.250184857	-79.664891435	308.2			
T	37.214990609	-79.666819402	273.6			
T	37.182206793	-79.669011639	282.7			
T	37.158479848	-79.671152723	251.8			
T	37.135108806	-79.671465138	263.0			
T	37.064225788	-79.664883229	274.3			
T	37.088026562	-79.638506245	258.8			
T	37.225249937	-79.575059537	262.1			
T	37.457829446	-79.534760967	481.4			
T	37.731380468	-79.545056847	495.5			
T	37.760127218	-79.551380090	365.3			
T	37.786801640	-79.555232448	422.8			
T	37.806980273	-79.560450563	516.9			
T	37.814690504	-79.592577170	478.4			
T	37.792148319	-79.597823477	391.0			
T	37.762116212	-79.603840965	492.0			
T	37.719267377	-79.607766209	394.8			
T	37.673984299	-79.612894956	581.3			
T	37.625786884	-79.619376560	511.1			
T	37.574254361	-79.625324920	339.9			
T	37.523900690	-79.628392170	348.1			
T	37.322766861	-79.647434577	385.1			
T	37.280444157	-79.650396391	246.6			
T	37.241301900	-79.653808418	282.3			
T	37.204495708	-79.657282241	258.1			
T	37.117079425	-79.662261883	258.7			
T	37.086445325	-79.659231514	277.3			
T	37.121939171	-79.629545784	254.1			
T	37.145000063	-79.618093106	275.2			
T	37.171794072	-79.607098359	252.5			
T	37.200885769	-79.596268761	266.7			
T	37.349012300	-79.570145487	292.5			
T	37.527060924	-79.571905491	631.9			
T	37.553662849	-79.576436993	464.2			
T	37.613211245	-79.588255745	424.0			
T	37.595682110	-79.610318401	337.3			
T	37.574457890	-79.615113327	255.8			
T	37.550162373	-79.618973776	314.8			
T	37.519516173	-79.623516037	348.1			
T	37.366268678	-79.648253005	299.2			
T	37.289413634	-79.657775494	355.0			
T	37.253736934	-79.661902144	362.5			
