type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	38.544542847	-79.983679999	1014.9			
T	37.561609944	-79.863791697	422.1			
T	37.362079974	-79.090713042	198.4			
T	38.626117930	-79.533779541	682.5			
T	38.932846097	-80.009411310	681.3			
T	38.027533215	-80.541167081	1114.0			
T	37.388747221	-80.337770691	703.1			
T	37.285938000	-80.274487359	753.0			
T	36.902948848	-79.379385872	241.3			
T	38.040897135	-79.080171919	448.1			
T	38.352756702	-79.865855193	772.4			
T	37.348750488	-79.867703206	358.1			
T	37.298114153	-79.824364419	542.0			
T	37.485426636	-79.073310036	244.8			
T	38.727750220	-79.183869411	793.3			
T	38.505853240	-79.580776411	840.8			
T	37.946825415	-79.457208291	440.3			
T	37.669061600	-78.907472369	191.7			
T	37.956301367	-78.706041876	489.8			
T	38.045613050	-78.674020927	186.2			
T	39.204639278	-78.747296825	665.5			
T	38.602572149	-78.891604383	451.4			
T	38.499494374	-78.875507529	389.5			
T	37.646148188	-78.556824028	126.2			
T	37.953217066	-78.192833586	158.0			
T	38.883392178	-78.057610727	380.0			
T	38.935776894	-78.098966978	261.0			
T	38.420559437	-78.276413029	189.1			
T	38.337271561	-78.289510412	185.2			
T	37.313093739	-78.324174215	87.0			
T	37.285109784	-78.165952244	93.5			
T	38.325306224	-78.003197285	154.8			
T	38.083917875	-78.238088220	153.6			
T	38.000567602	-78.263272931	134.5			
T	37.584980057	-78.347296092	121.6			
T	36.641282332	-78.389063691	88.6			
T	36.790161157	-78.250150893	147.0			
T	37.981740075	-78.030442839	129.3			
T	38.105712541	-78.154497015	163.6			
T	37.273105783	-78.401981441	134.1			
T	37.200518803	-78.408366995	143.1			
T	36.909620773	-78.242092080	135.0			
T	37.888222470	-77.904392585	84.8			
T	38.494608898	-77.855576114	83.1			
T	38.565461223	-77.864877295	104.1			
T	38.069902438	-78.246109466	156.7			
T	36.741188088	-78.418951967	136.6			
T	36.981824525	-78.165141438	138.7			
T	38.142644603	-77.992772258	102.7			
T	38.185722332	-78.001479728	101.5			
T	37.906063573	-78.256612376	115.9			
T	36.664711043	-78.519437432	112.1			
T	36.726767053	-78.388551247	94.4			
T	36.780198592	-78.365367380	115.5			
T	37.866840794	-78.169200228	94.5			
T	37.300816929	-78.535167822	176.6			
T	37.194511549	-78.569784673	141.5			
T	36.109974875	-78.770526426	96.6			
T	36.397134680	-78.488099836	115.8			
T	37.647854419	-78.187099659	60.1			
T	37.189013885	-78.570519081	161.3			
T	36.190416076	-78.791098062	143.4			
T	36.580795985	-78.477087699	96.1			
T	36.669504029	-78.444556914	109.0			
T	37.621904349	-78.341396713	126.9			
T	36.960370059	-78.702484809	146.7			
T	36.608150265	-78.748016432	124.1			
T	36.525966306	-78.458507423	92.0			
T	36.819672367	-78.273101585	97.2			
T	36.889434462	-78.241055042	123.6			
T	37.717706235	-78.131009085	100.5			
T	36.736032307	-78.635140428	128.0			
