type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	36.776050475	-80.672705034	813.4	Untitled Path		Untitled Path.kml
T	36.437684910	-80.553691187	356.5			
T	36.427821151	-80.468012535	343.2			
T	36.414632767	-80.406158729	355.8			
T	36.363941745	-80.108645524	242.2			
T	36.338768150	-79.935303972	231.7			
T	36.307240611	-79.652526281	237.7			
T	36.285843149	-79.380593030	219.8			
T	36.270284900	-79.157446427	190.9			
T	36.270300969	-79.094225715	203.1			
T	36.270345148	-79.001031186	158.8			
T	36.273403087	-78.970862903	171.5			
T	36.285684544	-78.923266063	167.7			
T	36.320149831	-78.994541298	188.3			
T	36.335984275	-79.057634305	198.5			
T	36.348642937	-79.124640435	173.2			
T	36.364516000	-79.293680267	142.4			
T	36.367630718	-79.385317765	178.9			
T	36.364290969	-79.483626132	195.7			
T	36.361035085	-79.581825632	194.2			
T	36.335501314	-79.779456195	253.0			
T	36.300892917	-79.950475852	251.3			
T	36.285281219	-80.032042397	220.4			
T	36.254084806	-80.177016769	224.4			
T	36.229450094	-80.278565358	279.3			
T	36.214148583	-80.351489535	295.2			
T	36.211090847	-80.370656107	287.0			
T	36.205034267	-80.389117355	302.8			
T	36.214140372	-80.354796097	291.6			
T	36.220292489	-80.309794296	289.1			
T	36.232722098	-80.176427995	238.4			
T	36.238990230	-80.005082588	273.0			
T	36.239069645	-79.918945777	264.7			
T	36.239154810	-79.829554622	242.9			
T	36.239227629	-79.736901024	257.5			
T	36.239517719	-79.555039980	203.8			
T	36.239722653	-79.383147053	177.2			
T	36.242700055	-79.310429213	205.9			
T	36.248776857	-79.250829187	189.3			
T	36.254913309	-79.191073093	217.6			
T	36.279580973	-79.090488272	192.9			
T	36.292016391	-79.073224369	187.8			
T	36.326465173	-79.111984979	177.1			
T	36.387005071	-79.259563987	184.0			
T	36.429126709	-79.468856850	161.4			
T	36.452027701	-79.694158110	178.8			
T	36.458675299	-79.819308356	171.6			
T	36.451983889	-80.047031419	280.6			
T	36.431335381	-80.254330486	219.1			
T	36.414579250	-80.333686020	285.1			
T	36.379085045	-80.446210289	373.2			
T	36.347103893	-80.489852948	386.3			
T	36.334402580	-80.496946826	327.1			
T	36.331174408	-80.445166169	303.0			
T	36.334459534	-80.293228281	292.8			
T	36.348073316	-80.089073644	208.1			
T	36.354622275	-79.852551646	208.9			
T	36.354586997	-79.727112178	254.6			
T	36.351534794	-79.493302524	209.3			
T	36.342198179	-79.280213028	142.3			
T	36.345461211	-79.131515956	178.7			
T	36.348661955	-79.084054671	157.4			
T	36.358164445	-79.015850963	203.5			
T	36.361328002	-78.998709201	196.3			
T	36.374168172	-79.025112112	196.0			
T	36.413063254	-79.177108607	128.5			
T	36.429379707	-79.279817909	167.9			
T	36.455532892	-79.507768202	184.2			
T	36.462054589	-79.643023627	226.9			
T	36.471962006	-79.772088360	171.2			
T	36.475414216	-79.890582096	221.7			
T	36.471660440	-80.122992529	306.3			
T	36.447664468	-80.288657261	272.1			
T	36.408066707	-80.380544756	312.7			
T	36.388688877	-80.403782260	338.8			
T	36.375808101	-80.414588219	321.3			
T	36.362964918	-80.415074742	313.5			
T	36.340586622	-80.386136858	298.9			
T	36.300106067	-80.252617203	267.6			
T	36.288123676	-80.156436942	190.6			
T	36.266714415	-79.925871806	281.7			
T	36.254568135	-79.695160176	236.1			
T	36.245570536	-79.571910564	221.6			
T	36.242723210	-79.462585745	218.8			
T	36.239710209	-79.366618367	202.4			
T	36.236585065	-79.204712712	200.0			
T	36.242665168	-79.105350746	222.1			
T	36.248794893	-79.081907519	216.3			
T	36.254937036	-79.061719695	208.2			
T	36.282677974	-79.093688077	200.0			
T	36.351732938	-79.266637254	148.0			
T	36.409483270	-79.499005569	183.7			
T	36.432294311	-79.630651303	224.1			
T	36.452149671	-79.894750281	224.1			
T	36.448362156	-80.139914017	227.5			
T	36.417911028	-80.317157163	288.4			
T	36.391866951	-80.380432305	329.8			
T	36.337503920	-80.439859233	327.7			
T	36.281037785	-80.453494007	292.6			
T	36.238131806	-80.429937733	243.2			
T	36.214005857	-80.404402437	284.8			
T	36.175404494	-80.306881014	266.6			
T	36.163853277	-80.196529806	296.1			
T	36.184715938	-80.105306788	259.8			
T	36.208644167	-80.063205431	264.0			
T	36.275945344	-80.013906382	259.4			
T	36.361072249	-80.002803794	177.0			
T	36.402916751	-80.012243060	196.8			
T	36.445402096	-80.032209740	259.7			
T	36.488534605	-80.062978578	324.3			
T	36.549400103	-80.132298320	319.9			
T	36.580235831	-80.215587415	309.0			
T	36.555823938	-80.306791952	346.5			
T	36.518014631	-80.348464844	360.3			
T	36.385459749	-80.403055978	323.2			
T	36.211045940	-80.387181079	306.0			
T	36.131133442	-80.372259619	267.6			
T	36.062135991	-80.353319056	223.1			
T	36.017209471	-80.343130837	231.8			
T	35.978590514	-80.337545500	207.7			
T	36.011655809	-80.341874451	226.3			
T	36.067813295	-80.354608800	221.9			
T	36.211064182	-80.380570894	278.4			
T	36.327935859	-80.386704310	279.0			
T	36.411328389	-80.384710341	323.1			
T	36.437485878	-80.383525547	308.9			
T	36.457391982	-80.373995221	335.0			
T	36.356509032	-80.338558151	301.3			
T	36.190355312	-80.283743620	266.6			
T	36.070897694	-80.252633211	248.6			
T	36.034140031	-80.248264567	256.3			
T	35.998014109	-80.250338425	237.4			
T	36.042532005	-80.272310998	254.2			
T	36.119640937	-80.308011478	268.4			
T	36.293571605	-80.379058681	309.1			
T	36.427749174	-80.429880915	354.8			
T	36.504208352	-80.447365944	366.6			
T	36.521206619	-80.444232250	353.9			
T	36.534886643	-80.440297646	431.0			
T	36.511059865	-80.420813171	343.6			
T	36.337539634	-80.320979396	301.2			
T	36.238561651	-80.273779730	262.4			
T	36.070954455	-80.210954938	284.7			
T	35.954447870	-80.181954989	220.6			
T	35.903586544	-80.178327216	216.8			
T	35.900940124	-80.177813753	216.4			
T	35.987047814	-80.226024314	249.9			
T	36.154741737	-80.299230156	236.8			
T	36.238387077	-80.333546587	286.1			
T	36.385459749	-80.403055978	323.2			
T	36.460702790	-80.430436613	349.9			
T	36.484034319	-80.439242675	359.3			
T	36.411382333	-80.408882106	367.5			
T	36.309167065	-80.369029847	299.5			
T	36.134184823	-80.311136027	256.0			
T	36.067973157	-80.296919197	238.2			
T	35.978714540	-80.284086200	246.1			
T	35.948778979	-80.290154451	251.0			
T	35.951438009	-80.309496248	260.0			
T	35.978604385	-80.331253190	209.0			
T	36.139745290	-80.432899704	236.2			
T	36.318611033	-80.523565949	280.8			
T	36.440948669	-80.575372116	335.6			
T	36.474078403	-80.583894105	373.3			
T	36.511044434	-80.579320105	337.9			
T	36.424590486	-80.494962788	357.5			
T	36.337503920	-80.439859233	327.7			
T	36.247375388	-80.392116175	296.3			
T	36.172325665	-80.355412881	251.7			
T	36.056574842	-80.313659464	254.5			
T	35.989654855	-80.299050339	231.7			
T	35.967754240	-80.300559413	245.1			
T	35.989603731	-80.321114830	221.6			
T	36.134015659	-80.392452916	262.9			
T	36.315430826	-80.471929806	301.0			
T	36.382390009	-80.501939892	313.0			
T	36.434435159	-80.518167073	355.1			
T	36.470808256	-80.523617791	408.9			
T	36.504319877	-80.514252177	446.7			
T	36.504302439	-80.496650991	479.5			
T	36.350110925	-80.361017057	314.5			
T	36.290596263	-80.324625908	321.5			
T	36.111147373	-80.228560760	277.6			
T	36.000879310	-80.184606317	271.7			
T	35.959899759	-80.167367151	245.1			
T	36.037035364	-80.182015144	234.2			
T	36.256930751	-80.244162551	241.8			
T	36.353578926	-80.273330715	320.1			
T	36.421279293	-80.293723518	248.2			
T	36.464241214	-80.302408090	278.1			
T	36.507967730	-80.297227065	274.9			
T	36.508021409	-80.279698355	314.9			
T	36.347844064	-80.150072707	254.9			
T	36.260520520	-80.098248490	239.8			
T	36.034526560	-80.000481112	244.6			
T	35.912032450	-79.957342811	238.4			
