type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	37.178095707	-80.272286095	516.9						
T	37.081105721	-80.327899919	748.2						
T	37.037431267	-80.349103911	724.9						
T	37.020679158	-80.351309639	774.0						
T	37.069622478	-80.304587201	763.4						
T	37.143721156	-80.250853054	528.8						
T	37.197534547	-80.210604532	483.0						
T	37.227264608	-80.190310212	390.8						
T	37.208709638	-80.207059718	531.0						
T	37.127397943	-80.270653579	489.2						
T	37.036108616	-80.329574535	781.2						
T	37.001372084	-80.353777602	727.3						
T	36.958186219	-80.378292525	703.9						
T	36.945508212	-80.386491311	739.4						
T	36.958170434	-80.381622188	677.4						
T	37.004616669	-80.357912303	681.3						
T	37.080328809	-80.316015043	689.5						
T	37.155884040	-80.270955591	543.9						
T	37.204706378	-80.242370848	488.6						
T	37.221121959	-80.235580925	486.8						
T	37.168321331	-80.287788398	545.0						
T	37.142481997	-80.304198004	631.9						
T	37.038860937	-80.373288892	685.7						
T	37.031198784	-80.378785707	658.5						
T	37.138584219	-80.315889886	635.6						
T	37.203809707	-80.278237715	504.5						
T	37.233276241	-80.268267339	389.8						
T	37.160849595	-80.341313026	546.3						
T	37.107666252	-80.386889746	656.5						
T	37.074167617	-80.416535583	636.5						
T	37.067064169	-80.424280384	644.5						
T	37.064735391	-80.430385218	634.2						
T	37.075293221	-80.431886687	628.7						
T	37.100225791	-80.422644621	624.7						
T	37.188348685	-80.379608948	564.7						
T	37.277606992	-80.322448985	612.0						
T	37.313335649	-80.300432043	667.9						
T	37.364023931	-80.269431487	476.6						
T	37.371946706	-80.266851581	517.5						
T	37.350690582	-80.282572784	519.4						
T	37.257172149	-80.352712180	505.0						
T	37.201849444	-80.387111293	654.8						
T	37.104925215	-80.444005922	649.8						
T	37.069274187	-80.460802739	634.8						
T	37.020361186	-80.480076821	717.1						
T	37.009557899	-80.481801477	698.9						
T	37.061245390	-80.441280506	628.7						
T	37.093107295	-80.422039343	611.0						
T	37.144897794	-80.394110564	627.0						
T	37.263847332	-80.322813715	482.0						
T	37.275031984	-80.320083913	575.2						
T	37.255053472	-80.346302417	467.2						
T	37.164201541	-80.422166852	623.2						
T	37.073067600	-80.480702723	637.8						
T	37.012922473	-80.515969604	642.4						
T	36.991363064	-80.531396281	586.9						
T	37.033033850	-80.522231857	604.0						
T	37.122301901	-80.489075503	619.1						
T	37.208066709	-80.458173270	616.6						
T	37.217848758	-80.460126395	620.5						
T	37.163516837	-80.519555119	627.1						
T	37.087445165	-80.570835412	598.1						
T	37.061747757	-80.585012981	596.5						
T	37.057003637	-80.588504939	620.7						
T	37.068683285	-80.582693466	614.5						
T	37.215069584	-80.502652200	597.7						
T	37.293689710	-80.458302522	713.5						
T	37.329402721	-80.438430737	618.1						
T	37.378961777	-80.414296157	946.5						
T	37.295368438	-80.475584997	699.4						
T	37.166066160	-80.555732123	516.8						
T	37.087573638	-80.594759630	593.6						
T	37.075731837	-80.599366294	562.1						
T	37.069871010	-80.601646448	562.1						
T	37.088827690	-80.591184786	601.9						
T	37.163474350	-80.553260403	515.3						
T	37.207364353	-80.532326687	521.9						
T	37.340704804	-80.461005618	716.2						
T	37.358926276	-80.454486630	842.4						
T	37.371406428	-80.451075152	979.0						
T	37.158196416	-80.589408516	582.6						
T	37.123998148	-80.607417619	613.0						
T	37.095896139	-80.620099385	601.3						
T	37.062820431	-80.635727676	562.1						
T	37.073318346	-80.632548290	598.6						
T	37.103231492	-80.620298020	591.5						
T	37.253546351	-80.556215597	671.8						
T	37.280278766	-80.544041542	693.6						
T	37.288748061	-80.543919390	953.0						
T	37.273018259	-80.569268445	628.8						
T	37.208931002	-80.623133943	595.3						
T	37.137554654	-80.665486966	619.5						
T	37.111428924	-80.677479065	629.1						
T	37.077768383	-80.692150748	617.6						
T	37.067351453	-80.692634800	617.0						
T	37.102987816	-80.661304687	627.5						
T	37.168439741	-80.613273810	584.1						
T	37.227273638	-80.574524937	624.6						
T	37.246435632	-80.561495807	656.6						
T	37.268324032	-80.544225994	701.5						
T	37.232539837	-80.568054140	636.3						
T	37.181886872	-80.599708908	572.9						
T	37.147850535	-80.615297548	605.1						
T	37.103092147	-80.639596231	597.5						
T	37.015443264	-80.674161722	597.0						
T	37.009910539	-80.677254251	564.5						
T	37.033138142	-80.672899687	612.6						
T	37.121399810	-80.651253113	613.9						
T	37.260635053	-80.603480237	551.9						
T	37.347321695	-80.573236926	913.1						
T	37.357652372	-80.570480602	1193.5						
T	37.367809451	-80.571850766	942.4						
T	37.305849995	-80.621686469	490.4						
T	37.223258262	-80.663368789	702.9						
T	37.121226796	-80.702429990	657.5						
T	37.066220450	-80.715011027	619.4						
T	37.059328928	-80.715631324	608.3						
T	37.107709204	-80.703869910	648.8						
T	37.124955530	-80.702700908	645.6						
T	37.136264819	-80.703525635	619.8						
T	37.145184078	-80.707884967	618.1						
T	37.152500532	-80.713360227	590.7						
T	37.162202548	-80.727764129	637.5						
T	37.164722932	-80.735459206	651.1						
T	37.169302622	-80.759724877	713.5						
T	37.172543974	-80.766405636	583.2						
T	37.197937099	-80.691413418	696.1						
T	37.220070217	-80.622151042	705.2						
T	37.234175408	-80.533053428	604.4						
T	37.235667269	-80.512262060	624.3						
T	37.236870206	-80.481075687	617.6						
T	37.238374408	-80.470602552	587.8						
T	37.239520397	-80.479654973	610.4						
T	37.259071053	-80.565357583	868.3						
T	37.268690875	-80.599636486	622.1						
T	37.289412776	-80.661311368	653.6						
T	37.301613845	-80.687398799	565.7						
T	37.319794834	-80.725070539	557.6						
T	37.325872399	-80.737776387	576.4						
T	37.333693099	-80.749362120	501.7						
T	37.330550269	-80.736808621	543.4						
T	37.315455752	-80.665227996	484.8						
T	37.271078484	-80.529662672	716.8						
T	37.235729641	-80.444782157	634.7						
T	37.204581041	-80.377893856	619.7						
T	37.194256565	-80.352235654	452.2						
T	37.177713522	-80.319031517	583.5						
T	37.172509740	-80.304671454	594.9						
T	37.192587106	-80.348671485	480.8						
T	37.216295290	-80.413990198	638.8						
T	37.249532538	-80.526196943	631.3						
T	37.284740147	-80.630472782	575.2						
T	37.306198025	-80.679594057	547.2						
T	37.319722640	-80.710147186	594.8						
T	37.327659793	-80.721609953	545.4						
T	37.327455131	-80.705246926	586.9						
T	37.322850912	-80.631620246	560.8						
T	37.297395507	-80.500907954	646.9						
T	37.275574108	-80.415583770	669.5						
T	37.247776058	-80.313399457	636.2						
T	37.236136247	-80.259987826	399.2						
T	37.230428670	-80.245386468	456.8						
T	37.241123680	-80.289268417	399.3						
T	37.266730264	-80.388615535	665.4						
T	37.288374957	-80.458580030	672.5						
T	37.298904614	-80.495489356	643.5						
T	37.320184702	-80.561041453	721.7						
T	37.329554609	-80.589578635	622.5						
T	37.349976803	-80.644727829	755.2						
T	37.353937092	-80.653104708	675.3						
T	37.358379344	-80.656030389	738.5						
T	37.345214712	-80.541737301	1231.5						
T	37.320596928	-80.409291380	725.4						
T	37.292179030	-80.297831813	587.8						
T	37.266040086	-80.228867988	543.4						
T	37.258678486	-80.219975780	677.9						
T	37.249732409	-80.209341072	442.9						
T	37.245979430	-80.263593012	413.9						
T	37.252928267	-80.332226901	566.9						
T	37.273060924	-80.448944982	707.8						
T	37.281075613	-80.488297757	873.7						
T	37.316731668	-80.624670837	559.2						
T	37.328778349	-80.674001088	531.4						
T	37.344800606	-80.717411939	576.9						
T	37.337032139	-80.670269674	522.2						
T	37.330317870	-80.627747626	592.9						
T	37.295741479	-80.499637140	641.3						
T	37.282663437	-80.456246990	700.4						
T	37.256979070	-80.380331039	656.6						
T	37.246456683	-80.353864702	463.4						
T	37.222764836	-80.316789295	692.9						
T	37.215847043	-80.305955306	689.3						
T	37.203754108	-80.298706874	412.9						
T	37.198735663	-80.341637340	684.1						
T	37.203332211	-80.376735709	636.3						
T	37.216443643	-80.453790384	628.2						
T	37.223438633	-80.493307464	600.6						
T	37.235015321	-80.573233116	694.4						
T	37.241809254	-80.614891812	689.6						
T	37.248937145	-80.680386740	611.2						
T	37.252024245	-80.704139388	586.8						
T	37.253245309	-80.723855649	679.6						
T	37.257331269	-80.746475174	655.7						
T	37.249076384	-80.720920553	593.6						
T	37.216709227	-80.601492806	612.3						
T	37.204760796	-80.559190736	524.7						
T	37.174663617	-80.482835403	600.6						
T	37.160418434	-80.452380409	620.4						
T	37.135875796	-80.409779503	620.6						
T	37.125829970	-80.394802733	659.0						
T	37.113724935	-80.383831244	670.5						
T	37.107673742	-80.385677319	666.7						
T	37.100270183	-80.416609996	644.8						
T	37.097697469	-80.446936308	652.8						
T	37.101604062	-80.515361835	634.9						
T	37.105339352	-80.551481873	606.7						
T	37.117662259	-80.658387091	622.1						
T	37.120007630	-80.712088657	659.3						
T	37.121141140	-80.758487408	653.2						
T	37.119864648	-80.768095100	666.6						
T	37.111455172	-80.746589809	642.6						
T	37.101626543	-80.714270924	638.3						
T	37.080337599	-80.643506131	618.6						
T	37.069861227	-80.608750729	562.1						
T	37.039678433	-80.511566139	627.8						
T	37.031534282	-80.485245594	814.7						
T	37.019995558	-80.446785358	623.0						
T	37.016479548	-80.434451879	626.2						
T	37.013592622	-80.423183654	665.3						
T	37.015909053	-80.467707294	686.0						
T	37.018335302	-80.499705910	648.1						
T	37.022005135	-80.534073269	597.8						
T	37.025968694	-80.600912214	622.2						
T	37.031943280	-80.693670592	634.9						
T	37.033229649	-80.718123888	636.5						
T	37.034863325	-80.754145992	675.2						
T	37.034946326	-80.765769337	690.3						
T	37.036068653	-80.776345242	633.5						
T	37.028606764	-80.695747567	657.3						
T	37.024170390	-80.656229828	612.5						
T	37.012877749	-80.577803426	664.7						
T	37.006703644	-80.541272166	619.6						
T	36.993258170	-80.475904916	615.4						
T	36.987412339	-80.452616239	751.3						
T	36.977468237	-80.416414620	781.3						
T	36.974470504	-80.405491265	763.2						
T	36.971410960	-80.399090842	741.5						
T	36.969376951	-80.394836461	760.9						
T	36.969159065	-80.413853313	783.4						
T	36.969157015	-80.436151532	845.2						
T	36.967599086	-80.496374264	731.7						
T	36.965965380	-80.527631618	661.8						
T	36.964593282	-80.557671341	833.6						
T	36.966657754	-80.636598161	817.6						
T	36.975609620	-80.681840070	591.1						
T	36.979730926	-80.689961922	628.6						
T	36.989033679	-80.677051163	660.0						
T	37.008918654	-80.585779238	652.3						
T	37.015933969	-80.469997900	658.3						
T	37.012040454	-80.366153991	705.5						
T	37.009964342	-80.341229606	797.0						
T	37.005142345	-80.312345537	769.0						
T	37.002984178	-80.304706865	787.1						
T	36.999810581	-80.302926732	777.6						
T	36.996815806	-80.334000057	740.7						
T	36.997286453	-80.364487970	718.7						
T	36.998203721	-80.397333427	699.3						
T	37.007268569	-80.461389990	622.3						
T	37.013903205	-80.493026076	682.6						
T	37.026563719	-80.545511786	566.3						
T	37.038468881	-80.596472274	669.5						
T	37.045385234	-80.611742657	617.1						
T	37.043036533	-80.594204666	624.2						
T	37.041071928	-80.567402989	620.2						
T	37.026760111	-80.469355053	740.3						
T	37.016752976	-80.409144546	683.8						
T	37.013656923	-80.384202805	685.4						
T	37.013389755	-80.341873142	704.4						
T	37.016148997	-80.324384443	739.6						
T	37.036000784	-80.286641058	803.7						
T	37.071137535	-80.272253085	690.5						
T	37.124865163	-80.271090221	433.9						
T	37.159351918	-80.280437125	612.2						
T	37.165698565	-80.286949986	487.6						
T	37.152675083	-80.293982546	556.2						
T	37.020679158	-80.351309639	774.0						
T	36.945687352	-80.373243136	720.2						
T	36.921008190	-80.375167194	704.5						
T	36.927763302	-80.365656497	675.2						
T	37.006222616	-80.317883905	752.5						
T	37.055552897	-80.289173468	763.6						
T	37.110053060	-80.262661511	544.2						
T	37.118225069	-80.260107787	531.4						
T	37.124490791	-80.258991014	497.7						
T	37.060121926	-80.310812216	744.2						
T	36.975953033	-80.360453026	703.7						
T	36.958199032	-80.369421484	676.0						
T	36.940475336	-80.376114236	800.8						
T	36.996872839	-80.337384253	754.1						
T	37.021831509	-80.321204762	702.5						
T	37.135841689	-80.252046929	535.5						
T	37.191460736	-80.224354722	490.8						
T	37.137380577	-80.270210810	421.1						
T	37.105874378	-80.292576810	621.1						
T	37.059231072	-80.319135215	765.3						
T	37.045600258	-80.325790705	718.7						
T	37.033894181	-80.329884884	848.8						
T	37.124865163	-80.271090221	433.9						
T	37.163023313	-80.244612045	403.9						
T	37.192934451	-80.227861847	474.9						
T	37.218588170	-80.212790049	370.7						
T	37.245485730	-80.199686764	430.7						
T	37.225927907	-80.222936094	407.3						
T	37.181828571	-80.264140580	592.4						
T	37.121422283	-80.310955356	608.9						
T	37.047989378	-80.357006610	709.1						
T	37.035364800	-80.364432378	673.3						
T	37.047989054	-80.358176281	710.0						
T	37.127530118	-80.308852216	578.0						
T	37.232702027	-80.239895931	390.9						
T	37.267585206	-80.219598252	716.5						
T	37.176416276	-80.330534472	555.7						
T	37.054215771	-80.437134346	646.1						
T	36.965534064	-80.506482629	717.1						
T	36.955214157	-80.515748020	673.4						
T	36.954154045	-80.523519455	724.7						
T	36.997567433	-80.513095702	670.6						
T	37.046391769	-80.494976174	624.0						
T	37.109932325	-80.459377581	646.6						
T	37.142366982	-80.441250957	612.2						
T	37.161665159	-80.432348580	625.6						
T	37.179979206	-80.430930769	636.0						
T	37.159103195	-80.483598409	596.4						
T	37.105294138	-80.553899208	596.6						
T	37.058207714	-80.610862926	562.1						
T	37.021951551	-80.658423422	593.1						
T	36.999123386	-80.694766573	584.8						
T	36.996866434	-80.701396701	588.4						
T	36.995539673	-80.706931002	571.0						
T	36.995802237	-80.697914953	626.7						
T	36.996633538	-80.682074198	659.2						
T	36.997408696	-80.625338074	834.1						
T	37.004400101	-80.532203517	613.9						
T	37.005949612	-80.500267078	641.9						
T	37.012340098	-80.443920534	646.9						
T	37.016904221	-80.396477742	687.3						
T	37.015827552	-80.386258333	689.6						
T	37.011354146	-80.399358726	648.8						
T	37.003890942	-80.424034787	652.0						
T	36.995109350	-80.457696341	690.2						
T	36.981302643	-80.559756819	700.4						
T	36.981248115	-80.651823830	713.8						
T	36.983846188	-80.714997543	562.4						
T	36.985994025	-80.738850152	602.5						
T	36.987016332	-80.745712006	633.5						
T	36.983604665	-80.681198951	642.9						
T	36.974770459	-80.562046902	704.2						
T	36.965389895	-80.487589654	710.6						
T	36.959949241	-80.455754080	774.8						
T	36.951040487	-80.407831814	762.6						
T	36.946464246	-80.395188357	738.2						
T	36.943446868	-80.385639744	761.6						
T	36.941479560	-80.378184544	773.5						
T	36.941242221	-80.395795222	765.2						
T	36.943840569	-80.421760493	752.2						
T	36.951592627	-80.492757964	815.3						
T	36.956120332	-80.530097973	714.7						
T	36.961334850	-80.567678058	814.6						
T	36.974346851	-80.639156610	759.7						
T	36.994493240	-80.727236639	632.3						
T	36.998771428	-80.746934868	612.4						
T	37.007304055	-80.774055446	677.6						
T	37.011475447	-80.779097994	664.0						
T	37.013567773	-80.769028168	695.2						
T	37.016447224	-80.714382814	656.6						
T	37.001517198	-80.601639745	736.9						
T	36.992425492	-80.564181142	646.7						
T	36.979274747	-80.509277864	654.0						
T	36.972830006	-80.489422305	681.2						
T	36.966331066	-80.473080784	711.0						
T	36.958935805	-80.459148850	812.5						
T	36.954926814	-80.458314339	789.9						
T	36.953864964	-80.466124567	841.8						
T	36.955238985	-80.511324121	719.3						
T	36.957032026	-80.543353493	755.1						
T	36.969884545	-80.636730346	850.0						
T	36.984904932	-80.716214399	562.1						
T	36.989182014	-80.738039882	616.0						
T	36.996363301	-80.767051089	672.0						
T	36.999711893	-80.775415765	649.7						
T	37.004081153	-80.780511192	647.7						
T	37.018749358	-80.713438726	640.7						
T	37.023455274	-80.625048234	611.0						
T	37.023701195	-80.602025933	631.4						
T	37.022957620	-80.581288082	649.3						
T	37.020696556	-80.565171614	621.2						
T	37.018780612	-80.543340454	614.3						
T	37.019873412	-80.542171246	630.5						
T	37.025460151	-80.546683609	590.0						
T	37.082887586	-80.591123917	588.3						
T	37.108256403	-80.607122528	576.2						
T	37.168658362	-80.635814309	571.7						
T	37.201870025	-80.648424412	588.3						
T	37.276350272	-80.679284713	559.6						
T	37.287507301	-80.683863662	648.3						
T	37.297239961	-80.693850908	583.5						
T	37.279303918	-80.703348093	563.5						
T	37.246301263	-80.711573700	519.8						
T	37.164832917	-80.721750225	626.3						
T	37.127500005	-80.727357523	614.6						
T	37.089650058	-80.731282671	624.2						
T	37.004144059	-80.733819447	601.4						
T	36.980743279	-80.732713651	562.1						
T	36.975497243	-80.733327944	634.4						
T	36.998792890	-80.733313033	651.5						
T	37.074339736	-80.727540100	629.5						
T	37.175771473	-80.710129523	646.9						
T	37.234893038	-80.706839001	606.5						
T	37.236324202	-80.708240972	524.3						
T	37.153477875	-80.748146231	640.7						
T	37.101579284	-80.768517072	638.0						
T	37.070757538	-80.778161379	635.7						
T	37.020204707	-80.791658411	714.8						
T	37.002877952	-80.795139589	674.8						
T	37.164725292	-80.737955936	670.8						
T	37.200513784	-80.726057212	735.3						
T	37.229259352	-80.712902406	542.5						
T	37.267543030	-80.703866388	514.7						
T	37.239203080	-80.717554490	529.5						
T	37.187009133	-80.741372686	573.5						
T	37.121121017	-80.765797109	662.7						
T	37.087171199	-80.775296478	655.6						
T	37.062635432	-80.781925494	633.3						
T	37.030262992	-80.788344561	657.6						
T	37.029137087	-80.788200084	653.1						
T	37.095672229	-80.758267387	633.6						
T	37.129957536	-80.742265935	617.9						
T	37.186917599	-80.714685763	707.3						
T	37.211801136	-80.702457252	787.3						
T	37.236024548	-80.693920031	620.1						
T	37.271932569	-80.680361292	578.4						
T	37.260609782	-80.692894721	645.6						
T	37.127431414	-80.757928219	660.8						
T	37.077820743	-80.770669329	621.5						
T	37.073159946	-80.771334756	627.5						
T	37.158455130	-80.737410911	636.1						
T	37.188195736	-80.731344510	625.4						
T	37.257723200	-80.708469246	558.7						
T	37.310843223	-80.696049272	554.6						
T	37.319872946	-80.699321756	598.6						
T	37.295596856	-80.717840627	567.0						
T	37.245812656	-80.749331038	644.4						
T	37.218304991	-80.758395025	613.2						
T	37.182961541	-80.773628151	727.1						
T	37.108598346	-80.793462434	666.2						
T	37.096551176	-80.794381917	636.9						
T	37.116108628	-80.785911327	639.7						
T	37.236220731	-80.743275424	603.3						
T	37.340198894	-80.712974280	585.7						
T	37.349404283	-80.713609329	567.5						
T	37.256988217	-80.762156626	637.1						
T	37.159767380	-80.797101517	583.2						
T	37.126778958	-80.805455591	655.9						
T	37.154816684	-80.797762240	635.5						
T	37.261217425	-80.761252378	638.4						
T	37.328991935	-80.740764616	586.3						
T	37.341486335	-80.736349444	513.8						
T	37.306991165	-80.748127482	804.2						
T	37.183460581	-80.786180884	941.5						
T	37.100160750	-80.800857899	633.4						
T	37.088346912	-80.800564110	637.7						
T	37.085867186	-80.789469403	661.6						
T	37.168505930	-80.737033593	681.3						
T	37.254827377	-80.695151336	584.3						
T	37.270489103	-80.688210966	524.9						
T	37.280694791	-80.683508519	562.2						
T	37.177415552	-80.726497629	778.3						
T	37.018851090	-80.774202961	745.9						
T	36.983753705	-80.781372457	660.4						
T	37.094578119	-80.747357036	618.0						
T	37.138659467	-80.735691001	612.7						
T	37.247727108	-80.710372230	525.9						
T	37.303168814	-80.709001492	567.5						
T	37.313501950	-80.721865869	609.8						
T	37.230838881	-80.789067466	1076.3						
T	37.126447388	-80.832249252	840.8						
T	37.075132742	-80.838019871	805.2						
T	37.052005411	-80.815761567	630.6						
T	37.049841630	-80.802601733	655.9						
T	37.062815315	-80.730074235	604.4						
T	37.086061313	-80.668818037	639.9						
T	37.095805197	-80.648933926	618.9						
T	37.099372112	-80.658717208	620.0						
T	37.100473563	-80.674425604	640.9						
T	37.100426990	-80.723814755	635.6						
T	37.104973753	-80.807513727	630.5						
T	37.107417755	-80.817518113	637.7						
T	37.110919773	-80.825245613	657.4						
T	37.114527628	-80.801455100	655.4						
T	37.123736453	-80.714822059	651.2						
T	37.122593950	-80.659842232	624.5						
T	37.121399810	-80.651253113	613.9						
T	37.121441575	-80.642722927	615.9						
T	37.123793167	-80.667222113	636.8						
T	37.122379120	-80.763495736	671.2						
T	37.123571329	-80.783148748	621.1						
T	37.125737214	-80.796798610	638.7						
T	37.129260099	-80.805775812	691.8						
T	37.137654168	-80.815412412	892.9						
T	37.142520875	-80.813570689	717.3						
T	37.181939762	-80.772295499	682.7						
T	37.209383024	-80.698480387	811.1						
T	37.212529031	-80.653972469	677.9						
T	37.211416686	-80.732084136	586.9						
T	37.227434935	-80.810528120	971.8						
T	37.244725571	-80.832106490	1173.5						
T	37.276244821	-80.822053821	1069.5						
T	37.332071514	-80.758761510	570.0						
T	37.367022058	-80.705040053	603.9						
T	37.376320567	-80.690298374	656.5						
T	37.295248634	-80.739205200	633.9						
T	37.144987554	-80.800307475	811.9						
T	37.061207700	-80.821773166	703.9						
T	37.083496069	-80.790370877	665.6						
T	37.121120225	-80.764577825	659.3						
T	37.180572483	-80.734367855	695.5						
T	37.274890867	-80.692450887	542.3						
T	37.299682540	-80.683234549	617.3						
T	37.337032139	-80.670269674	522.2						
T	37.320049185	-80.674936388	558.2						
T	37.105375531	-80.732706475	674.2						
T	37.073262815	-80.733389098	614.5						
T	37.172227504	-80.701122303	589.0						
T	37.298243127	-80.669751520	603.1						
T	37.334520279	-80.660618534	612.6						
T	37.376491558	-80.649778683	913.1						
T	37.177410502	-80.734035375	806.2						
T	37.149747844	-80.740369487	637.3						
T	37.131230822	-80.743614836	618.9						
T	37.115127738	-80.744517508	645.2						
T	37.167602173	-80.709490387	593.7						
T	37.274507043	-80.661947452	680.5						
T	37.347590685	-80.628185436	701.6						
T	37.355951223	-80.624249207	898.4						
T	37.273219461	-80.671159663	600.7						
T	37.211948260	-80.693520974	856.1						
T	37.188524717	-80.702189471	795.0						
T	37.161322837	-80.709040616	598.3						
T	37.196679286	-80.687530164	738.5						
T	37.305852064	-80.636490131	568.6						
T	37.337159405	-80.618343580	766.2						
T	37.356952343	-80.609091543	864.6						
T	37.380372018	-80.605292096	1177.9						
T	37.390364444	-80.625064896	848.0						
T	37.389288147	-80.678346626	924.2						
T	37.382249293	-80.739522559	1034.8						
T	37.375839186	-80.783744393	698.4						
T	37.365173944	-80.738169184	631.0						
T	37.353053372	-80.631066959	775.3						
T	37.347195886	-80.544442237	1100.2						
T	37.348910673	-80.492140368	737.0						
T	37.349215158	-80.481115138	697.1						
T	37.351697063	-80.498978194	979.4						
T	37.354158347	-80.523723763	1138.9						
T	37.367294414	-80.620310169	1238.7						
T	37.386356529	-80.699205695	894.2						
T	37.405480091	-80.742995592	704.3						
T	37.405463423	-80.741578211	686.8						
T	37.395054704	-80.626583281	795.6						
T	37.375241008	-80.507900880	1165.4						
T	37.352760263	-80.424548402	861.7						
T	37.331078880	-80.393452944	959.4						
T	37.324804466	-80.413046536	884.1						
T	37.329560010	-80.498339953	669.4						
T	37.335423233	-80.529572587	894.7						
T	37.358190788	-80.609107489	901.7						
T	37.384161661	-80.645864425	802.8						
T	37.382646439	-80.569049818	933.9						
T	37.353950903	-80.425864848	929.0						
T	37.320568482	-80.367117493	582.3						
T	37.298950474	-80.354671691	644.8						
T	37.287033481	-80.369345256	655.5						
T	37.280972555	-80.387277542	652.3						
T	37.270438353	-80.468907620	710.2						
T	37.261632199	-80.544319086	846.9						
T	37.255682901	-80.598145472	639.2						
T	37.253092014	-80.609900902	507.1						
T	37.248897521	-80.622887966	575.6						
T	37.254344681	-80.612541617	497.7						
T	37.307240106	-80.501858427	560.2						
T	37.352055264	-80.363931118	726.8						
T	37.347408597	-80.321603095	566.3						
T	37.342932270	-80.316648748	564.0						
T	37.324251778	-80.324702954	646.7						
T	37.292683113	-80.402200846	811.5						
T	37.286135563	-80.433461287	743.8						
T	37.281638527	-80.496216070	739.9						
T	37.285121955	-80.526663328	722.4						
T	37.304239696	-80.606853066	508.3						
T	37.326005017	-80.648036063	614.2						
T	37.334612305	-80.656530376	632.2						
T	37.333357216	-80.641477700	593.8						
T	37.261137289	-80.528569944	697.2						
T	37.174672386	-80.472788752	582.7						
T	37.103783673	-80.456155015	629.7						
T	37.055435315	-80.466389706	615.5						
T	37.021617005	-80.496111615	696.3						
T	37.011033400	-80.537758303	623.0						
T	37.015091563	-80.557173235	626.2						
T	37.026329934	-80.561681567	628.2						
T	37.093161085	-80.501239411	624.0						
T	37.111390007	-80.477453931	667.3						
T	37.129794214	-80.455645841	639.7						
T	37.144887845	-80.436126043	606.0						
T	37.167169507	-80.394355969	587.6						
T	37.163193492	-80.379769704	490.9						
T	37.113628274	-80.398428642	679.6						
T	37.082436906	-80.418176596	629.8						
T	37.056556307	-80.438120169	648.8						
T	37.034491455	-80.457293712	675.6						
T	37.019218054	-80.474396053	685.7						
T	37.003077654	-80.509475886	613.9						
T	37.016473145	-80.533053823	575.5						
T	37.068602945	-80.530629111	585.9						
T	37.084865226	-80.520683922	623.9						
T	37.097894830	-80.508268330	644.6						
T	37.106400237	-80.495864983	646.6						
T	37.113575735	-80.451862805	658.1						
T	37.107332654	-80.434155299	641.8						
T	37.069326360	-80.394490669	601.4						
T	37.024575708	-80.384147747	693.8						
T	36.999453329	-80.386946484	667.2						
T	36.994866116	-80.402235393	689.4						
T	37.020079244	-80.424920062	662.6						
T	37.065893825	-80.440925093	623.3						
T	37.101300730	-80.441858002	649.9						
T	37.109800132	-80.440015937	655.6						
T	37.122123246	-80.432989863	667.1						
T	37.117089007	-80.422446873	666.9						
T	37.108616719	-80.420730530	675.2						
T	37.058896636	-80.437933126	624.2						
T	37.000856525	-80.511837391	653.2						
T	36.980515881	-80.582193695	723.8						
T	36.983858365	-80.637293437	794.3						
T	36.990250816	-80.651084287	851.6						
T	37.025443415	-80.667843070	605.2						
T	37.079162723	-80.642268806	610.0						
T	37.114425540	-80.582947266	598.4						
T	37.123727389	-80.519518511	572.1						
T	37.121164646	-80.512284752	587.3						
T	37.096798393	-80.516720321	650.3						
T	37.054647570	-80.604913735	589.9						
T	37.052338442	-80.670503917	562.1						
T	37.070847271	-80.717754767	641.1						
T	37.102862967	-80.727643863	665.0						
T	37.150363939	-80.682258967	614.3						
T	37.177640558	-80.605930746	544.3						
T	37.162241623	-80.527076822	623.9						
T	37.129132832	-80.510766699	559.2						
T	37.083713690	-80.538618966	599.3						
T	37.057075967	-80.621417196	566.3						
T	37.068490263	-80.687978342	621.4						
T	37.099293739	-80.732155616	647.0						
T	37.153469141	-80.738218506	622.9						
T	37.207948973	-80.689536596	683.1						
T	37.242813210	-80.586255559	581.8						
T	37.230464664	-80.522769048	586.8						
T	37.193318778	-80.498401096	590.9						
T	37.140215983	-80.533802297	559.6						
T	37.120288745	-80.557388132	594.0						
T	37.091001744	-80.604386380	603.7						
T	37.074287600	-80.680048183	610.4						
T	37.108941310	-80.718489357	655.7						
T	37.192875903	-80.689845520	804.6						
T	37.257843373	-80.603437534	573.2						
T	37.257772994	-80.549618568	733.2						
T	37.195143314	-80.522436073	549.3						
T	37.087219325	-80.564857352	620.8						
T	37.054621064	-80.592003306	618.1						
T	37.058094931	-80.595569581	608.0						
T	37.109025396	-80.550225602	645.2						
T	37.134986792	-80.495837681	604.0						
T	37.137405123	-80.466213248	669.9						
T	37.145283115	-80.522570876	574.4						
T	37.187031666	-80.628856534	561.3						
T	37.222353845	-80.685238758	691.9						
T	37.253407863	-80.712091714	578.0						
T	37.222624243	-80.654364638	646.6						
T	37.156790051	-80.620478451	606.2						
T	37.111638088	-80.629005424	588.9						
T	37.094416422	-80.670473949	622.3						
T	37.129956456	-80.741040679	607.4						
T	37.175026628	-80.770418778	593.0						
T	37.225757354	-80.769200860	864.8						
T	37.287966140	-80.731926837	571.9						
T	37.295661744	-80.713833108	539.7						
T	37.226467582	-80.716568352	530.5						
