type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	37.135018026	-80.506892132	595.9						
T	37.223341737	-80.452060409	633.5						
T	37.265451711	-80.424317441	638.7						
T	37.316018045	-80.389247481	593.2						
T	37.330127796	-80.379863428	775.0						
T	37.338997230	-80.374931547	956.9						
T	37.309175166	-80.396702144	649.6						
T	37.159227698	-80.501017888	593.8						
T	37.087211085	-80.542138945	623.7						
T	37.064025124	-80.554343627	548.7						
T	37.042227457	-80.565068359	572.4						
T	37.062873613	-80.554355974	549.6						
T	37.116348680	-80.528248877	600.5						
T	37.201106693	-80.484089462	593.7						
T	37.271972488	-80.446346349	718.5						
T	37.297536119	-80.433903089	673.7						
T	37.323995406	-80.425274989	744.3						
T	37.332937604	-80.427241488	619.0						
T	37.331070907	-80.434218761	617.6						
T	37.248009189	-80.530153815	628.9						
T	37.176428668	-80.588314747	584.9						
T	37.146591242	-80.609086577	585.0						
T	37.107960399	-80.636149370	601.8						
T	37.097036488	-80.642975714	621.6						
T	37.152959150	-80.612934973	619.5						
T	37.280428763	-80.540055304	679.9						
T	37.323413261	-80.513506787	632.1						
T	37.382058581	-80.472641752	661.6						
T	37.404308513	-80.458773634	667.3						
T	37.341390460	-80.496543140	661.9						
T	37.241202140	-80.556321747	737.0						
T	37.083913517	-80.637683230	612.3						
T	37.010884820	-80.664722428	636.7						
T	36.991060155	-80.671518471	644.5						
T	36.977913685	-80.674061124	720.6						
T	36.973507829	-80.674989972	723.2						
T	37.041085992	-80.646587808	615.6						
T	37.072139279	-80.634878951	590.9						
T	37.162024124	-80.599418199	605.0						
T	37.239376276	-80.566736651	772.6						
T	37.284225304	-80.549306477	839.1						
T	37.298536270	-80.545098548	623.9						
T	37.308368814	-80.542251004	599.0						
T	37.249472292	-80.581072707	694.0						
T	37.215220487	-80.598901394	599.8						
T	37.160725768	-80.625567546	621.3						
T	37.121441575	-80.642722927	615.9						
T	37.086159236	-80.658075109	628.1						
T	37.060557465	-80.667448611	562.1						
T	37.042051507	-80.672248848	630.9						
T	37.029844652	-80.673868879	562.1						
T	37.101907222	-80.627494122	601.8						
T	37.191413541	-80.574500421	508.9						
T	37.263843493	-80.527195559	748.8						
T	37.291377848	-80.510480425	676.8						
T	37.317393914	-80.493382809	614.5						
T	37.321764482	-80.487787681	634.1						
T	37.283978336	-80.506729575	686.0						
T	37.183255150	-80.560614196	514.6						
T	37.112037699	-80.597492688	541.2						
T	37.079261101	-80.610133977	574.9						
T	37.073371813	-80.611195653	563.5						
