type	latitude	longitude	altitude (ft)	name	desc	kml_folder
T	37.664228223	-80.406677322	2800.4			
T	37.492907713	-80.663420810	2027.0			
T	37.449053224	-80.675286511	1950.0			
T	37.615528588	-80.418643708	2429.4			
T	37.639731423	-80.461854911	2413.5			
T	37.551536702	-80.614816405	1974.0			
T	37.503042736	-80.577508408	2045.6			
T	37.644809526	-80.388100606	2812.7			
T	37.615229498	-80.510857222	2292.3			
T	37.507661752	-80.632857058	2189.5			
T	37.561761475	-80.491977562	2277.0			
T	37.625312090	-80.400268529	2482.7			
T	37.517512904	-80.608382097	2213.8			
T	37.483302559	-80.638776953	2150.7			
T	37.571640009	-80.449051651	2358.7			
T	37.600929852	-80.418541947	2306.1			
T	37.556873057	-80.498080936	2226.5			
T	37.517811297	-80.534622016	2640.1			
T	37.532521526	-80.504021915	2193.4			
T	37.625344726	-80.387975398	2811.8			
T	37.600855869	-80.443123206	2333.5			
T	37.576359897	-80.492096145	2282.1			
T	37.635122900	-80.369596620	2620.2			
T	37.649777249	-80.345094545	2905.1			
T	37.679092397	-80.302251064	2597.6			
T	37.630161848	-80.406447990	2764.7			
T	37.576292377	-80.510532839	2256.1			
T	37.639927498	-80.394217162	2817.6			
T	37.703444137	-80.296230758	2830.5			
T	37.674133875	-80.332935554	2831.2			
T	37.586114596	-80.486029479	2316.5			
T	37.517590278	-80.589941236	2107.2			
T	37.507804127	-80.602141369	1997.8			
T	37.586177748	-80.467594148	2294.2			
T	37.679056042	-80.314535431	2826.2			
T	37.547186027	-80.485717670	2448.5			
T	37.420025421	-80.644317325	3067.6			
T	37.346565781	-80.729361295	1756.0			
T	37.376115490	-80.668476931	1781.6			
T	37.557157352	-80.412096156	2412.2			
T	37.630377002	-80.320415583	2876.2			
T	37.610822892	-80.357158360	2599.7			
T	37.503305788	-80.509919641	2470.1			
T	37.410390549	-80.625822529	2456.3			
T	37.454590391	-80.527927693	3248.1			
T	37.703676136	-80.197903881	2835.7			
T	37.610958664	-80.308048833	2497.3			
T	37.591425497	-80.338647444	2758.2			
T	37.366741505	-80.600952459	4058.6			
T	37.410986677	-80.490863565	3968.9			
T	37.591634909	-80.265034209	3321.0			
T	37.483964148	-80.479075677	3377.5			
T	37.464414507	-80.503457310	3492.7			
T	37.351992102	-80.631481537	2484.1			
T	37.581816197	-80.301808164	3050.9			
T	37.576687216	-80.387661170	2614.6			
T	37.562022462	-80.412129402	2358.8			
T	37.370925910	-80.723489562	2701.0			
T	37.537812734	-80.381326939	3257.9			
T	37.674387728	-80.240806054	1811.6			
T	37.522858975	-80.485522512	2205.3			
T	37.351927102	-80.643739093	2560.5			
T	37.499013626	-80.356651317	2890.4			
T	37.645282272	-80.197706460	2212.7			
T	37.591570674	-80.289573494	2691.8			
T	37.523231533	-80.381260672	2490.2			
T	37.537961950	-80.338432192	2127.2			
T	37.577006479	-80.283389655	3155.6			
T	37.586743372	-80.277288022	3432.7			
T	37.601323783	-80.277335917	2336.5			
T	37.498765505	-80.424020113	2506.5			
T	37.445040634	-80.484944214	3238.0			
T	37.494021963	-80.393376816	2399.0			
T	37.620939824	-80.203759702	1821.3			
T	37.645306368	-80.185427089	1865.2			
T	37.635549613	-80.197672714	1941.6			
T	37.620900981	-80.222172193	2782.6			
T	37.606275065	-80.240535877	2962.5			
T	37.591619301	-80.271169062	3419.7			
T	37.445040634	-80.484944214	3238.0			
T	37.430375906	-80.503211301	2883.5			
T	37.401057218	-80.539829992	3414.7			
T	37.381474087	-80.570377821	3071.4			
T	37.406070461	-80.503066298	3757.6			
T	37.533260324	-80.283242404	2448.4			
T	37.664848658	-80.136350870	1678.6			
T	37.547621044	-80.356857532	3504.2			
T	37.352087312	-80.613096109	2501.4			
T	37.303250548	-80.649439448	1863.0			
T	37.362186876	-80.533447519	3817.4			
T	37.499182198	-80.301511810	2772.4			
T	37.616144147	-80.166916561	2137.9			
T	37.616099747	-80.191466379	1787.1			
T	37.518348251	-80.387364738	2256.2			
T	37.430348813	-80.509333389	2924.2			
T	37.342327529	-80.619142583	1928.5			
T	37.317942696	-80.631189452	1766.7			
T	37.322903197	-80.612852884	1928.3			
T	37.455219001	-80.368709599	2040.7			
T	37.484510059	-80.332092790	2586.6			
T	37.616154495	-80.160778946	2135.8			
T	37.577069508	-80.258854513	2034.8			
T	37.469576011	-80.429994509	2236.6			
T	37.440258776	-80.466560019	3372.5			
T	37.288623577	-80.655434914	2082.9			
T	37.274165397	-80.630814527	1976.7			
T	37.288887121	-80.606446685	1751.6			
T	37.465147227	-80.301381018	1711.1			
T	37.494419354	-80.258577976	1716.0			
T	37.616236950	-80.117832807	3607.6			
T	37.586913386	-80.203670449	2855.1			
T	37.386573420	-80.515200954	3742.3			
T	37.288790575	-80.624816023	1760.6			
T	37.333091953	-80.514873069	2323.7			
T	37.352699023	-80.478299943	2364.7			
T	37.577252483	-80.148403636	3052.1			
T	37.660085411	-80.074930933	1857.6			
T	37.572280362	-80.228170930	2675.1			
T	37.435641537	-80.405345240	2033.9			
T	37.289159376	-80.551345990	2689.7			
T	37.445676325	-80.307418607	2168.2			
T	37.640589089	-80.099460748	2262.8			
T	37.635669350	-80.130140542	2120.1			
T	37.460059313	-80.374852522	2187.3			
T	37.250006108	-80.600007750	2347.8			
T	37.377462287	-80.356116115	2329.8			
T	37.587131039	-80.050287583	1826.1			
T	37.587099760	-80.074825704	2529.2			
T	37.572462910	-80.099330171	2128.0			
T	37.372390868	-80.417270660	2738.3			
T	37.205964147	-80.648575324	2025.6			
T	37.171700943	-80.684953584	1931.0			
T	37.220918907	-80.581413824	1968.2			
T	37.411743426	-80.258255325	3082.9			
