type	latitude	longitude	altitude (ft)	name	desc	kml_folder
T	37.576423348	-79.473310587	2004.5			
T	37.406632471	-79.621595465	1144.0			
T	37.261115244	-79.775023468	982.5			
T	37.246553729	-79.793397338	903.0			
T	37.372722880	-79.664579906	1652.3			
T	37.561712967	-79.442693074	2705.7			
T	37.600424682	-79.393242438	856.1			
T	37.522859954	-79.461400726	2967.6			
T	37.217193366	-79.707947856	944.5			
T	37.139501280	-79.775364343	1044.9			
T	37.246200136	-79.640614267	950.7			
T	37.425576772	-79.468229248	776.9			
T	37.459506146	-79.437320959	1366.3			
T	37.648763207	-79.325196802	1600.5			
T	37.576117094	-79.399591143	1093.7			
T	37.314022360	-79.554685231	1116.8			
T	37.207224736	-79.622459036	875.3			
T	37.255733905	-79.579434516	744.0			
T	37.571017013	-79.350485236	842.5			
T	37.716695202	-79.287658422	1403.8			
T	37.571277740	-79.405774251	1518.4			
T	37.299361951	-79.536403915	983.0			
T	37.270218744	-79.548783352	1030.7			
T	37.144051814	-79.647173558	845.2			
T	37.187744374	-79.616441885	955.4			
T	37.284813824	-79.548711335	1019.9			
T	37.488672149	-79.430967924	958.1			
T	37.307306835	-79.193549075	511.2			
T	37.288156740	-79.242729786	891.0			
T	37.370769701	-79.223527937	790.0			
T	37.307736515	-79.260910153	920.9			
T	37.273747876	-79.273476284	767.9			
T	37.230023711	-79.286113738	730.2			
T	37.147509716	-79.323514543	755.6			
T	37.099084389	-79.366664402	733.1			
T	37.055542886	-79.415819715	652.6			
T	37.089608264	-79.415571624	719.8			
T	37.138416980	-79.445742898	731.4			
T	37.298687102	-79.383409420	743.0			
T	37.337485981	-79.358611592	772.9			
T	37.361580688	-79.315540923	742.0			
T	37.342185807	-79.327956473	844.6			
T	37.119606609	-79.610662415	845.0			
T	37.158382632	-79.567729212	855.6			
T	37.298624818	-79.371170849	888.9			
T	37.400152220	-79.253904910	759.5			
T	37.438893587	-79.222851939	778.8			
T	37.458360912	-79.222644656	663.2			
T	37.337453578	-79.352488842	777.2			
T	37.148390487	-79.500624631	855.5			
T	37.317857078	-79.328164641	850.5			
T	37.550258682	-79.129438854	860.8			
T	37.564864204	-79.129262696	932.1			
T	37.196776658	-79.439216867	837.5			
T	37.133689395	-79.476300936	767.6			
T	37.380577533	-79.235695353	740.0			
T	37.564864204	-79.129262696	932.1			
T	37.332555316	-79.346407137	801.3			
T	37.114331346	-79.500842216	728.1			
T	37.308193859	-79.340490509	898.2			
T	37.458543353	-79.253335239	857.5			
T	37.497478773	-79.252930732	548.3			
T	37.478081158	-79.265410893	918.4			
T	37.143165386	-79.421282495	810.2			
T	37.210841108	-79.335202143	761.8			
T	37.307773384	-79.267035626	891.6			
T	37.501820356	-79.166888952	712.1			
T	37.526119590	-79.160462765	742.7			
T	37.482428843	-79.179396432	745.0			
T	37.234742208	-79.261604933	598.1			
T	37.491798360	-79.123999027	833.9			
T	37.569525149	-79.098452043	828.3			
T	37.452897413	-79.130611053	791.0			
T	37.302103538	-79.144620937	875.8			
T	37.404312137	-79.143435399	756.1			
T	37.375195000	-79.156029828	866.6			
T	37.350901384	-79.162435856	1116.3			
T	37.234349509	-79.200439891	830.9			
T	37.472110794	-79.093526231	768.7			
T	37.428389526	-79.106344359	778.8			
T	37.350599181	-79.119545980	666.0			
T	37.493732909	-79.480031502	1628.3			
T	37.338486768	-79.597403491	926.7			
T	37.197703359	-79.695805346	972.6			
T	37.061727063	-79.812158789	957.5			
T	37.139412605	-79.732644531	906.7			
T	37.542364978	-79.473549937	3319.1			
T	37.571598162	-79.485637899	1235.5			
T	37.246351480	-79.695617625	1054.8			
T	37.120075078	-79.793721815	977.1			
T	37.100646229	-79.812069590	1125.5			
T	37.357835896	-79.566713115	926.0			
T	37.406343155	-79.529680465	923.9			
T	37.450013123	-79.498742458	1838.6			
T	37.354914557	-79.045908696	816.6			
T	37.151311073	-79.158475782	746.1			
T	37.272636012	-79.108235988	882.7			
T	37.292058629	-79.101877413	769.3			
T	37.335725780	-79.082949812	623.2			
T	37.364838139	-79.070317908	603.8			
T	37.296787633	-79.083435838	1122.1			
T	37.204308420	-79.084505859	749.2			
T	37.291538327	-79.034474590	768.7			
T	37.354672101	-79.015240222	709.9			
T	37.320744351	-79.034090461	788.5			
T	37.141212479	-79.109668319	752.0			
T	37.083021752	-79.140844209	475.8			
T	37.126653978	-79.115938488	609.7			
T	37.282092745	-79.071364958	840.3			
T	37.389036983	-79.051601572	619.4			
T	37.403733707	-79.063687539	474.9			
T	37.272544970	-79.095990180	846.0			
T	37.155909496	-79.121740298	582.3			
T	37.136482484	-79.128060680	533.4			
T	37.204355823	-79.090626377	762.6			
T	37.291826577	-79.071241929	857.8			
T	37.340729327	-79.101282567	695.6			
T	37.215496966	-79.298475026	693.0			
T	37.114253303	-79.482534210	698.9			
T	37.104625899	-79.507006248	829.2			
T	37.220927699	-79.402365049	814.3			
T	37.298495575	-79.346692940	844.2			
T	37.274451546	-79.401953550	618.0			
T	37.201911214	-79.500282167	908.0			
T	37.163110344	-79.531063487	753.3			
T	37.119344647	-79.537428607	877.5			
T	37.133551594	-79.445777489	625.4			
T	37.210702097	-79.310746731	594.7			
T	37.216239476	-79.439076722	906.7			
T	37.187973748	-79.695841855	987.4			
T	37.163895239	-79.818026824	1107.8			
T	37.144188357	-79.696006428	853.8			
T	37.129234063	-79.580095214	858.7			
T	37.119344647	-79.537428607	877.5			
T	37.109915221	-79.622914305	889.9			
T	37.110064872	-79.671728821	793.4			
T	37.110147614	-79.702235402	883.4			
T	37.110221765	-79.732740653	859.7			
T	37.110288525	-79.763244173	869.6			
T	37.105665587	-79.988925050	1760.0			
T	37.105675372	-80.013310072	2034.0			
T	37.091088115	-80.019399040	1633.7			
T	37.086214773	-79.995021444	1286.5			
T	37.081334933	-79.958446819	1177.5			
T	37.076164121	-79.732852623	956.7			
T	37.076104581	-79.708458708	882.4			
T	37.075855725	-79.623072342	790.4			
T	37.076005802	-79.671865962	972.2			
T	37.086169997	-79.909667868	1500.0			
T	37.081357149	-80.104686239	2581.2			
T	37.076474766	-80.141216732	2749.3			
T	37.032668165	-79.921911019	1122.5			
T	37.032628910	-79.879258481	1158.8			
T	37.036690998	-79.556193567	790.0			
T	37.056179535	-79.562185619	824.1			
T	37.086179029	-79.921862462	1317.0			
T	37.091076223	-80.116882388	3052.0			
T	37.086198606	-80.141234765	2537.1			
T	37.061846960	-79.909693618	1152.5			
T	37.080442445	-79.543755591	873.0			
T	37.080295730	-79.507156561	913.9			
T	37.090198329	-79.549802079	900.6			
T	37.105538752	-79.830356906	1001.5			
T	37.105673734	-80.007214167	2402.0			
T	37.105680119	-80.037691715	1689.8			
T	37.076352500	-80.208280362	1749.7			
T	37.047209308	-80.183845945	2696.0			
T	37.047245878	-80.165559152	2637.5			
T	37.042415295	-80.141179922	2639.3			
T	37.042452070	-80.110719972	2603.4			
T	37.042460419	-80.074190810	1330.2			
T	37.071425910	-79.793844852	892.9			
T	37.071366339	-79.763357527	955.4			
T	37.071526683	-79.860912272	1203.1			
T	37.071560224	-79.891394492	1138.4			
T	37.071526565	-80.189979152	1965.2			
T	37.066466502	-80.269246311	2353.5			
T	37.051963350	-80.232626931	2227.5			
T	37.042456969	-80.098543439	1978.9			
T	37.042460021	-80.062012903	1337.6			
T	37.066592491	-79.812147648	873.7			
T	37.081325199	-80.153409579	2588.6			
T	37.071349898	-80.263158447	2332.7			
T	37.042460427	-80.068101947	1433.4			
T	37.100570638	-79.769372215	1002.2			
T	37.144102141	-80.330569451	2147.2			
T	37.076310168	-80.226575354	2475.3			
T	37.120263596	-80.007218473	2617.5			
T	37.109863815	-80.391416305	2276.2			
T	37.081231700	-80.202190349	1899.0			
T	37.222304532	-80.141611393	2335.3			
T	37.094915007	-80.482840625	2021.9			
T	37.075865241	-80.379031814	2080.0			
T	37.193114914	-80.153736954	3484.6			
T	37.270821064	-80.215073071	2453.2			
T	37.202155087	-80.422456592	2132.4			
T	37.129109716	-80.446450817	2156.5			
T	37.139365213	-80.281756409	1979.8			
T	37.149166666	-80.251276153	1741.3			
T	37.266108973	-80.111175645	1157.3			
T	37.324390825	-80.172377296	1869.0			
T	37.289843984	-80.380148145	2139.7			
T	37.143394763	-80.519760852	1925.8			
T	37.085161667	-80.488878763	1928.0			
T	37.149030221	-80.306195431	1850.3			
T	37.265868686	-80.257831946	1343.4			
T	37.294666743	-80.392398137	2355.8			
T	37.172375320	-80.562708875	1688.3			
T	37.089457932	-80.604837769	2033.1			
T	37.119045369	-80.525705455	2068.5			
T	37.284876330	-80.410682459	2414.1			
T	37.372368393	-80.423384996	2956.3			
T	37.352647315	-80.490523516	2621.5			
T	37.186875743	-80.581141194	1707.6			
T	37.143065865	-80.586927280	1939.1			
T	37.260091609	-80.526654497	2215.1			
T	37.279575288	-80.520671130	2233.0			
T	37.371963139	-80.521243858	3925.4			
T	37.254994691	-80.575569522	2777.5			
T	37.177018475	-80.605513969	1804.0			
T	37.162491503	-80.593178955	1906.0			
T	37.371804108	-80.558043178	3592.7			
T	37.157251781	-80.660365029	1976.5			
T	37.098843803	-80.665949198	2068.1			
T	37.434958397	-80.570741629	3106.4			
T	37.351894022	-80.649868379	2188.0			
T	37.156859693	-80.727476208	2022.5			
T	37.176460229	-80.703288349	2055.8			
T	37.381271487	-80.613330377	3910.5			
T	37.488365945	-80.595804797	2122.4			
T	37.463866352	-80.632429932	2134.8			
T	37.278687162	-80.692064605	1716.0			
T	37.249601449	-80.673453181	1938.2			
T	37.386336576	-80.570410937	3076.7			
T	37.517834435	-80.528476505	2493.0			
T	37.396033870	-80.576613329	3603.6			
T	37.288887121	-80.606446685	1751.6			
T	37.230486511	-80.612081909	1674.3			
T	37.254933106	-80.587808448	2357.1			
T	37.469302561	-80.497362951	3485.7			
T	37.498418341	-80.516021501	2507.5			
T	37.401182482	-80.509156337	3521.4			
T	37.377275878	-80.411179867	2778.2			
T	37.436205125	-80.160298514	2125.3			
T	37.445975575	-80.123582767	1562.7			
T	37.504419143	-79.866305788	1184.8			
T	37.504001599	-79.657889930	1771.6			
T	37.503752226	-79.572043820	2391.6			
T	37.527768746	-79.473652430	2583.3			
T	37.571794885	-79.547070056	1488.4			
T	37.591295144	-79.559233046	1253.6			
T	37.605148567	-79.362470512	1393.8			
T	37.623407319	-79.147023825	1444.3			
T	37.595261775	-79.331827373	1163.7			
T	37.618462169	-79.134766820	827.3			
T	37.677113325	-79.177260713	1022.4			
T	37.653978383	-79.398961618	1643.1			
T	37.584882453	-79.215124338	927.1			
T	37.613429486	-79.110210973	789.8			
T	37.589639779	-79.196622467	1673.8			
T	37.540521847	-79.129556232	802.7			
T	37.574174118	-79.067642463	649.9			
T	37.589248264	-79.135119685	1221.2			
T	37.507032240	-79.222121306	562.5			
T	37.477677808	-79.197874263	618.8			
T	37.559567497	-79.067831230	674.7			
T	37.588957406	-79.092057858	789.3			
T	37.589289159	-79.141270308	998.6			
T	37.541069205	-79.215605595	1361.2			
T	37.492317870	-79.203854456	767.4			
T	37.487257159	-79.173199160	672.9			
T	37.564300456	-79.049320363	689.7			
T	37.622597649	-79.030078178	674.4			
T	37.618172418	-79.091688390	759.6			
T	37.501898775	-79.179175650	820.1			
T	37.433836172	-79.192216535	669.0			
T	37.404437021	-79.161842469	764.9			
T	37.539909275	-79.043493678	844.1			
T	37.573902389	-79.030734011	730.8			
T	37.588648263	-79.048993784	743.7			
T	37.491539455	-79.087139383	793.3			
T	37.467242628	-79.093587256	721.5			
T	37.258303857	-79.145122495	993.3			
T	37.335679458	-79.076818817	729.3			
T	37.631907313	-78.974546052	715.6			
T	37.398819437	-79.057613064	571.7			
T	37.262765372	-79.089981638	788.4			
T	37.388989514	-79.045466401	695.4			
T	37.413233280	-79.032883011	615.3			
T	37.432656939	-79.026493325	592.7			
T	37.602792926	-78.987248850	675.4			
T	37.432752425	-79.038769936	458.4			
T	37.403593154	-79.045280337	642.7			
T	37.175100167	-79.084830110	682.1			
T	37.369374177	-79.027314990	810.0			
T	37.466590402	-79.007612900	839.8			
T	37.281754271	-79.028475137	780.9			
T	37.218573040	-79.041489075	718.9			
T	37.369176701	-79.002781047	706.5			
T	37.490836812	-78.994990221	726.8			
T	37.169939780	-79.048173723	704.5			
T	37.461573852	-78.989255344	466.3			
T	37.476130423	-78.982907619	603.9			
T	37.174504587	-79.011401823	616.7			
T	37.320446000	-78.997303464	799.0			
T	37.252244958	-78.992087763	601.4			
T	37.116181412	-79.024343270	587.5			
T	37.098353901	-79.244545900	729.7			
T	37.080466106	-79.549855393	826.8			
T	37.108716091	-79.348269979	741.4			
T	37.136663169	-79.152512172	629.2			
T	37.123609705	-79.403109247	570.6			
T	37.133893602	-79.525134318	782.5			
T	37.166213201	-79.201127499	742.3			
T	37.181209723	-79.262103569	538.8			
T	37.163086605	-79.524956866	666.1			
T	37.253565801	-79.163531976	936.4			
T	37.216239476	-79.439076722	906.7			
T	37.186987399	-79.427067015	930.5			
T	37.238792207	-79.139215318	884.6			
T	37.254463055	-79.304244226	739.0			
T	37.230892841	-79.451198121	897.2			
T	37.263508459	-79.194025668	784.5			
T	37.244512609	-79.267631108	675.4			
T	37.070823412	-79.574305043	796.8			
T	37.026813580	-79.519671861	683.3			
T	37.074544340	-79.330238023	794.3			
T	37.104049127	-79.384940899	646.0			
T	37.114526184	-79.549662026	911.6			
T	37.090875874	-79.787696425	1115.3			
T	37.061567045	-79.732900572	797.4			
T	37.056505994	-79.659749637	815.7			
T	37.052122435	-79.915798723	1017.5			
T	37.081294354	-80.171700722	2648.8			
T	37.091091693	-80.037681414	1382.1			
T	37.091086172	-80.013304589	1376.2			
T	37.095752009	-79.793783013	1092.9			
T	37.086071241	-79.824300267	1050.8			
T	37.086214294	-80.116874757	3011.7			
T	37.090890767	-80.232704848	2116.6			
T	37.071635565	-80.092492310	1736.2			
T	37.051975392	-79.799989580	964.7			
T	37.057029610	-79.995020730	1272.6			
T	37.085673316	-80.354686560	2082.6			
T	37.081282574	-80.177798436	2218.9			
T	37.066728818	-79.934071395	1124.2			
T	37.056814565	-80.238734127	2601.6			
T	37.056391396	-80.385025670	2336.9			
T	37.032682138	-80.141169638	2600.0			
T	37.022677594	-80.263049916	2649.2			
T	37.026955686	-80.451912640	2422.5			
T	37.017487996	-80.384816214	2346.8			
T	37.027830732	-80.128982203	2536.7			
T	37.017303201	-80.433568932	2084.1			
T	37.007399541	-80.476165775	2148.0			
T	37.017993564	-80.189897401	2581.9			
T	37.032316228	-80.305699590	2484.8			
T	37.060620461	-80.537493442	1972.4			
T	37.074800204	-80.616915835	1902.4			
T	37.079983478	-80.555944153	1846.6			
T	37.080728613	-80.379056963	2059.9			
T	37.079890961	-80.574247644	1856.2			
T	37.079562158	-80.635263702	2045.9			
T	37.076147720	-80.287568171	2521.1			
T	37.066095901	-80.391175653	2005.1			
T	37.079562158	-80.635263702	2045.9			
T	37.074996064	-80.580309253	1996.0			
T	37.071333023	-80.269257699	2412.7			
T	37.060817257	-80.494812832	2001.1			
T	37.050741850	-80.567912190	1894.5			
T	37.090345756	-80.409607486	2029.7			
T	37.119431391	-80.434184939	2266.8			
T	37.084026945	-80.702447607	2139.8			
T	37.192289302	-80.459029712	2279.5			
T	37.479683991	-80.319821119	2181.5			
T	37.552502754	-80.350749066	3278.6			
T	37.420963707	-80.429747398	2058.9			
T	37.289531807	-80.465717431	2409.8			
T	37.455176505	-80.380952417	2144.8			
T	37.542604489	-80.399731711	2458.9			
T	37.323420651	-80.502572773	2153.4			
T	37.386883295	-80.441804206	2308.7			
T	37.581501677	-80.406120269	2837.2			
T	37.625243488	-80.424856805	2621.4			
T	37.683552015	-80.456028205	1823.5			
T	37.649067465	-80.566474729	2535.4			
T	37.717400733	-80.517813970	1747.9			
T	37.722172710	-80.542478579	1977.4			
T	37.693325457	-80.443792953	2007.2			
T	37.678600098	-80.480597067	2200.8			
T	37.693727585	-80.290038186	3062.1			
T	37.688418422	-80.456062424	2080.6			
T	37.673946127	-80.412894036	2480.7			
T	37.703903217	-80.050407590	1647.5			
T	37.689088605	-80.191710053	3191.4			
T	37.678845720	-80.400623527	2838.8			
T	37.699091512	-80.007386152	3151.1			
T	37.703980327	-79.982801554	2358.6			
T	37.718552504	-79.878255013	1482.6			
T	37.698842350	-80.179450281	3217.0			
T	37.684281647	-80.154827784	2502.2			
T	37.703587965	-79.681526450	2167.7			
T	37.645592320	-79.939798855	1039.6			
T	37.631000974	-79.964376521	1187.6			
T	37.659718859	-79.663294558	1875.9			
T	37.635860399	-79.988943208	1371.3			
T	37.640428246	-80.191550503	1896.1			
T	37.655181133	-80.099484633	1686.0			
T	37.660126894	-79.847616296	932.2			
T	37.650421118	-80.025794178	2903.5			
T	37.655147686	-80.117902554	1807.3			
T	37.665056256	-79.945932047	1816.0			
T	37.679373626	-79.724649370	1686.7			
T	37.635724915	-80.099453185	2738.1			
T	37.640731678	-79.964373962	1410.3			
T	37.674139784	-79.601768660	2522.9			
T	37.640229558	-79.657246548	1845.2			
T	37.606597142	-79.847717889	1251.1			
T	37.630572918	-79.681852735	2696.9			
T	37.654472307	-79.528094102	1339.7			
T	37.673767297	-79.472592955	1066.2			
T	37.645502912	-79.823068372	922.3			
T	37.692975990	-79.410939399	879.5			
T	37.697690094	-79.380152088	1073.1			
T	37.663709490	-79.398885601	1202.0			
T	37.615915597	-79.663502545	1697.0			
T	37.643802590	-79.306787810	1247.5			
T	37.648289069	-79.239092023	1040.7			
T	37.596126054	-79.546915110	1043.8			
T	37.653012150	-79.214430767	962.3			
T	37.653153095	-79.239047676	1155.7			
T	37.634461231	-79.386816265	2565.6			
T	37.620510256	-79.565197276	1280.7			
T	37.620326160	-79.503730827	737.7			
T	37.691475312	-79.140165369	842.8			
T	37.663136207	-79.282002313	970.4			
T	37.629567895	-79.380706500	1849.0			
T	37.633907527	-79.276125460	1044.7			
T	37.686243494	-79.084783607	737.0			
T	37.643319181	-79.220676147	964.4			
T	37.637963253	-79.140719127	924.4			
T	37.676999168	-79.158789237	924.3			
T	37.657876531	-79.214384761	935.4			
T	37.647531646	-79.115995086	780.4			
T	37.676166165	-79.035613522	912.5			
T	37.614200384	-79.233257045	825.3			
T	37.627860937	-79.085426628	769.6			
T	37.651748189	-79.023578827	716.9			
T	37.661833441	-79.072735250	780.2			
T	37.647964218	-79.183704529	1283.5			
T	37.651927523	-79.048212285	787.4			
T	37.685622867	-78.998532643	657.7			
T	37.642985151	-79.165288771	741.2			
T	37.623751942	-79.202401779	941.4			
T	37.613713544	-79.153282849	1746.5			
T	37.661341253	-79.004985722	687.4			
T	37.618214305	-79.097843114	761.0			
T	37.603732515	-79.116485197	1032.4			
T	37.278758251	-79.297909354	828.0			
T	37.219749397	-79.200587367	875.5			
T	37.239008592	-79.169803670	808.7			
T	37.220641146	-79.347345680	751.6			
T	37.187288821	-79.494267306	715.7			
T	37.167951959	-79.524927487	743.6			
T	37.191341775	-79.329253608	635.3			
T	37.195884866	-79.274193725	549.8			
T	37.124113313	-79.512986728	757.2			
T	37.109683090	-79.555792185	962.5			
T	37.156560692	-79.213447070	705.0			
T	37.070432340	-79.476718575	780.5			
T	37.127273006	-79.201504239	607.7			
T	37.146354478	-79.146298677	718.0			
T	37.103300962	-79.256718024	611.2			
T	37.093719575	-79.281233756	590.1			
T	37.169939780	-79.048173723	704.5			
T	37.131428769	-79.103660261	641.1			
T	37.088455322	-79.220203843	628.5			
T	37.112141460	-79.128317625	629.5			
T	37.082930102	-79.128626006	596.5			
T	37.035152450	-79.257337043	818.8			
T	37.063121923	-79.086078818	439.4			
T	37.020043506	-79.184238058	635.3			
T	37.043397756	-79.055760371	481.7			
T	36.996247734	-79.263791803	838.3			
T	37.001348415	-79.300346674	947.5			
T	37.012591709	-79.623364514	806.1			
T	37.022861260	-79.848807048	1061.4			
T	37.047087226	-79.787810553	1005.6			
T	37.065935143	-79.568231935	812.3			
T	37.022747046	-79.781779686	1119.1			
T	37.022833119	-79.830527712	986.6			
T	37.084647498	-79.397297828	666.2			
T	37.098913851	-79.336139717	718.9			
T	36.998263583	-79.714830085	1002.7			
T	36.984004261	-79.903686014	1105.2			
T	37.022823751	-79.824434481	1065.4			
T	37.042132343	-79.745155394	895.3			
T	37.037493802	-79.879251298	985.4			
T	37.037518118	-79.903626001	1159.2			
T	37.047209308	-80.183845945	2696.0			
T	37.071177322	-80.324137588	2487.9			
T	37.090556080	-80.348613752	1832.9			
T	37.090762444	-80.281505100	2012.7			
T	37.075844010	-80.385130058	2058.2			
T	37.069800160	-80.641277614	1886.2			
T	37.071316087	-80.275356845	2223.5			
T	37.065786492	-80.470451459	2053.2			
T	37.065887431	-80.446057795	2019.0			
T	37.129513113	-80.330500877	1942.1			
T	37.387045131	-80.398995670	2923.5			
T	37.445341213	-80.411510475	2181.8			
T	37.128376042	-80.605135385	1959.1			
T	37.143065865	-80.586927280	1939.1			
T	37.372094458	-80.490636835	2414.4			
T	37.449822759	-80.503336613	3002.0			
T	37.176530619	-80.691096146	1971.8			
T	37.386308666	-80.576546578	3178.2			
T	37.415537509	-80.564471565	2602.9			
T	37.542023720	-80.565577792	2058.3			
T	37.249200157	-80.740605728	2174.4			
T	37.395672743	-80.650254577	2581.3			
T	37.497805186	-80.657326805	2114.3			
T	37.287796869	-80.789827219	3267.1			
T	37.570749952	-80.664144919	2035.9			
T	37.473097323	-80.724606214	2166.4			
T	37.536628252	-80.676113597	1852.4			
T	37.624483836	-80.621603673	1880.4			
T	37.570936355	-80.627273911	2445.9			
T	37.653934046	-80.566516773	2373.1			
T	37.283478564	-80.704320169	1751.7			
T	37.483656070	-80.558893789	2663.2			
T	37.503093602	-80.565217022	2504.1			
T	37.317843715	-80.649568018	1749.0			
T	37.239908134	-80.667242060	2139.4			
T	37.415717299	-80.521515596	3708.1			
T	37.265840489	-80.270050949	1468.1			
T	37.421748462	-79.890936735	1448.3			
T	37.504388904	-79.823386980	1277.2			
T	37.266131199	-80.086728460	1520.4			
T	37.430867446	-79.596976178	2608.7			
T	37.392501450	-79.811393126	1483.6			
T	37.236947335	-79.891177364	1092.7			
T	37.333409640	-79.536231179	933.5			
T	37.450176063	-79.547818053	1429.1			
T	37.445386370	-79.572377402	2574.3			
T	37.270704584	-79.707753408	1112.4			
T	37.415773884	-79.449896143	829.8			
T	37.309730811	-79.762667359	1114.3			
T	37.376566084	-79.388918924	890.8			
T	37.454223379	-79.351519521	1078.6			
T	37.275391117	-79.640487100	782.6			
T	37.357104260	-79.389071674	784.9			
T	37.449056508	-79.296379080	908.3			
T	37.275193517	-79.579337683	854.4			
T	37.231000268	-79.475647187	882.0			
T	37.351883646	-79.321749500	795.0			
T	37.187485004	-79.543136209	733.3			
T	37.332454564	-79.328039731	795.4			
T	37.371607132	-79.370581672	821.7			
T	37.187857114	-79.653089661	975.7			
T	37.347151065	-79.346284326	690.1			
T	37.381274463	-79.358252352	902.9			
T	37.221839273	-79.628501631	825.1			
T	37.260419687	-79.530491261	892.1			
T	37.274917666	-79.505946883	839.8			
T	37.410201581	-79.308987888	886.3			
T	37.410681556	-79.400908590	891.3			
T	37.328678307	-79.572971143	983.7			
T	37.342997938	-79.499429655	867.9			
T	37.347764716	-79.474887826	868.0			
T	37.429523087	-79.284296274	866.7			
T	37.391280255	-79.413310505	896.7			
T	37.372013761	-79.456332576	855.2			
T	37.443722627	-79.216664008	741.0			
T	37.405336250	-79.309030729	894.6			
T	37.323362176	-79.456671540	826.5			
T	37.361476351	-79.297167098	806.5			
T	37.385517912	-79.247912072	850.7			
T	37.298868209	-79.420124243	762.7			
T	37.274762570	-79.469247532	670.1			
T	37.376038171	-79.290910540	755.6			
T	37.404981700	-79.247725111	709.3			
T	37.255274009	-79.463255481	875.4			
T	37.293758874	-79.371210136	833.9			
T	37.380385723	-79.205034475	731.9			
T	37.274390300	-79.389719064	742.1			
T	37.260001224	-79.432645228	759.5			
T	37.404981700	-79.247725111	709.3			
T	37.323388803	-79.462798446	806.0			
T	37.231605847	-79.640679242	858.5			
T	37.396116194	-79.407146416	873.3			
T	37.391309601	-79.419436786	745.6			
T	37.188273919	-79.860714045	1794.6			
T	37.212492357	-79.787376560	861.8			
T	37.381842608	-79.480789429	860.4			
T	37.285221249	-79.677134726	988.0			
T	37.270704584	-79.707753408	1112.4			
T	37.173724586	-79.903467777	1369.5			
T	37.280179063	-79.616008640	791.5			
T	37.222058021	-79.707930074	957.3			
T	37.091069512	-79.976733301	1374.1			
T	37.260681022	-79.603866205	984.7			
T	37.289808237	-79.585386561	923.0			
T	37.139710901	-79.988926591	1265.6			
T	37.163929826	-79.842443252	1064.0			
T	37.188147973	-79.775228010	869.0			
T	37.241689434	-79.793409976	824.0			
T	37.227150099	-79.830102940	911.3			
T	37.076440797	-80.165596877	2740.9			
T	37.120198909	-79.885230547	1099.9			
T	37.182991939	-79.653110528	928.8			
T	37.129593101	-79.696061172	956.9			
T	37.239455243	-79.237092948	776.1			
T	37.119459514	-79.567942152	972.9			
T	37.123702076	-79.421427164	721.6			
T	37.180560452	-79.164293668	686.7			
T	37.142198382	-79.250247718	617.4			
T	37.070350428	-79.458421676	732.1			
T	37.070047840	-79.397407424	606.0			
T	37.107927055	-79.220020525	623.3			
T	37.088815587	-79.275169591	750.8			
T	37.041179381	-79.464715116	779.4			
T	37.069384062	-79.281447857	718.1			
T	37.074095279	-79.256981966	797.3			
T	37.097672241	-79.146802033	669.8			
T	37.036044626	-79.409862150	966.6			
T	37.031332072	-79.440391787	805.4			
T	37.002353901	-79.489348790	646.0			
T	37.030162676	-79.239072746	792.7			
T	37.029868153	-79.196348357	650.7			
T	36.973126960	-79.483442732	767.5			
T	37.005568309	-79.202690287	680.2			
T	36.963196337	-79.440866220	804.8			
T	36.958704351	-79.526167928	668.7			
T	36.995428140	-79.147871556	664.8			
T	36.933453554	-79.343587737	783.1			
T	36.914459750	-79.429022551	864.6			
T	36.927920733	-79.240027470	580.9			
T	36.956285613	-79.123880596	532.7			
T	36.913906301	-79.331561433	698.3			
T	36.917746473	-79.179165694	543.3			
T	36.955792564	-79.062876850	602.1			
T	36.946918100	-79.172773577	502.4			
T	36.948469791	-79.416597847	904.9			
T	36.957721696	-79.331201202	862.8			
T	36.962045861	-79.245806389	658.6			
T	36.958172779	-79.410434134	946.1			
T	36.976222993	-79.184677681	658.6			
T	36.999821411	-79.086788878	550.7			
T	36.967458368	-79.331121362	872.0			
T	36.967194224	-79.288445132	737.9			
T	37.004739935	-79.092838494	603.3			
T	37.049469203	-79.214471799	662.6			
T	37.117323404	-79.171045023	714.9			
T	37.000656355	-79.196636376	631.1			
T	37.126837396	-79.140387921	610.0			
T	36.995474132	-79.153973736	650.9			
T	37.039016683	-79.116884188	608.1			
T	37.213753911	-79.047667911	704.5			
T	37.029231091	-79.110884423	577.4			
T	37.150613481	-79.066749806	728.7			
T	37.029038039	-79.086461267	550.8			
T	37.072663428	-79.061531242	542.7			
T	37.198950013	-79.023351611	593.2			
T	37.033557011	-79.043659262	480.4			
T	37.145292318	-79.011758728	590.5			
T	37.067280436	-79.000487539	504.0			
T	37.110999155	-78.987719473	589.0			
T	37.136528130	-79.134173654	637.0			
T	37.109705925	-79.561894103	986.7			
T	37.109956015	-79.635118455	921.1			
T	37.108395681	-79.293314687	603.8			
T	37.103300962	-79.256718024	611.2			
T	37.081043938	-79.738935395	1014.2			
T	37.071366339	-79.763357527	955.4			
T	37.079997027	-79.440052409	823.0			
T	37.081196739	-79.818213417	957.7			
T	37.076470260	-79.958448944	1124.8			
T	37.066582096	-79.806050915	925.1			
T	37.075576221	-79.543782950	890.2			
T	37.090473856	-79.629105959	805.6			
T	37.100810212	-80.007212628	2143.6			
T	37.056818249	-79.787785401	967.7			
